depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
37.5,2,7:41:00,sample,mub-b-glu,2,live,800,272.51
37.5,2,7:41:00,sample,mub-b-glu,3,live,800,295.83
37.5,2,7:41:00,sample,mub-a-glu,1,live,800,119.74
37.5,2,7:41:00,sample,mub-a-glu,2,live,800,107.84
37.5,2,7:41:00,sample,mub-a-glu,3,live,800,156.7
37.5,2,7:41:00,sample,leu-amc,1,live,800,874.32
37.5,2,7:41:00,sample,leu-amc,2,live,800,783.27
37.5,2,7:41:00,sample,leu-amc,3,live,800,839.6
37.5,2,7:41:00,sample,arg-amc,1,live,800,483.5
37.5,2,7:41:00,sample,arg-amc,2,live,800,543.97
37.5,2,7:41:00,sample,arg-amc,3,live,800,485.72
37.5,2,7:41:00,sample,pro-amc,1,live,800,751.49
37.5,2,7:41:00,sample,pro-amc,2,live,800,757.84
37.5,2,7:41:00,sample,pro-amc,3,live,800,793.75
37.5,2,7:41:00,sample,orn-amc,1,live,800,1157.51
37.5,2,7:41:00,sample,orn-amc,2,live,800,970.17
37.5,2,7:41:00,sample,orn-amc,3,live,800,832.51
37.5,2,7:41:00,sample,phe-arg-amc,1,live,800,757.48
37.5,2,7:41:00,sample,phe-arg-amc,2,live,800,628.35
37.5,2,7:41:00,sample,phe-arg-amc,3,live,800,538.38
37.5,2,7:41:00,sample,phe-val-arg-amc,1,live,800,832.64
37.5,2,7:41:00,sample,phe-val-arg-amc,2,live,800,811.15
37.5,2,7:41:00,sample,phe-val-arg-amc,3,live,800,882.91
37.5,2,7:41:00,sample,mub-po4,1,killed,800,1033.35
37.5,2,7:41:00,sample,mub-po4,2,killed,800,
37.5,2,7:41:00,sample,mub-po4,3,killed,800,
37.5,2,7:41:00,sample,mub-xylo,1,killed,800,144.62
37.5,2,7:41:00,sample,mub-xylo,2,killed,800,226.89
37.5,2,7:41:00,sample,mub-xylo,3,killed,800,145.67
37.5,2,7:41:00,sample,mub-cell,1,killed,800,167.07
37.5,2,7:41:00,sample,mub-cell,2,killed,800,140.79
37.5,2,7:41:00,sample,mub-cell,3,killed,800,170.42
37.5,2,7:41:00,sample,mub-nag,1,killed,800,170.73
37.5,2,7:41:00,sample,mub-nag,2,killed,800,253.85
37.5,2,7:41:00,sample,mub-nag,3,killed,800,198.59
37.5,2,7:41:00,sample,mub-b-glu,1,killed,800,164.48
37.5,2,7:41:00,sample,mub-b-glu,2,killed,800,164.25
37.5,2,7:41:00,sample,mub-b-glu,3,killed,800,165.92
37.5,2,7:41:00,sample,mub-a-glu,1,killed,800,173.38
37.5,2,7:41:00,sample,mub-a-glu,2,killed,800,152.26
37.5,2,7:41:00,sample,mub-a-glu,3,killed,800,161.69
37.5,2,7:41:00,sample,leu-amc,1,killed,800,471.61
37.5,2,7:41:00,sample,leu-amc,2,killed,800,487.77
37.5,2,7:41:00,sample,leu-amc,3,killed,800,585.07
