depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
61.55,0:00:00,sample,mub-po4,1,live,800,4594.07
61.55,0:00:00,sample,mub-po4,2,live,800,4726.58
61.55,0:00:00,sample,mub-po4,3,live,800,5570.92
61.55,0:00:00,sample,mub-xylo,1,live,800,325.26
61.55,0:00:00,sample,mub-xylo,2,live,800,322.18
61.55,0:00:00,sample,mub-xylo,3,live,800,308.9
61.55,0:00:00,sample,mub-cell,1,live,800,552.79
61.55,0:00:00,sample,mub-cell,2,live,800,543.29
61.55,0:00:00,sample,mub-cell,3,live,800,556.11
61.55,0:00:00,sample,mub-nag,1,live,800,818.23
61.55,0:00:00,sample,mub-nag,2,live,800,883.84
61.55,0:00:00,sample,mub-nag,3,live,800,1121.69
61.55,0:00:00,sample,mub-b-glu,1,live,800,359.26
61.55,0:00:00,sample,mub-b-glu,2,live,800,256.6
61.55,0:00:00,sample,mub-b-glu,3,live,800,362.88
61.55,0:00:00,sample,mub-a-glu,1,live,800,275.05
61.55,0:00:00,sample,mub-a-glu,2,live,800,341.26
61.55,0:00:00,sample,mub-a-glu,3,live,800,282.06
61.55,0:00:00,sample,leu-amc,1,live,800,1727.29
61.55,0:00:00,sample,leu-amc,2,live,800,1475.67
61.55,0:00:00,sample,leu-amc,3,live,800,1802.14
61.55,0:00:00,sample,arg-amc,1,live,800,832.45
61.55,0:00:00,sample,arg-amc,2,live,800,806.24
61.55,0:00:00,sample,arg-amc,3,live,800,819.52
61.55,0:00:00,sample,pro-amc,1,live,800,856.54
61.55,0:00:00,sample,pro-amc,2,live,800,650.47
61.55,0:00:00,sample,pro-amc,3,live,800,746.88
61.55,0:00:00,sample,orn-amc,1,live,800,6767.84
61.55,0:00:00,sample,orn-amc,2,live,800,4986.27
61.55,0:00:00,sample,orn-amc,3,live,800,5195.77
61.55,0:00:00,sample,phe-arg-amc,1,live,800,2999.38
61.55,0:00:00,sample,phe-arg-amc,2,live,800,3081.63
61.55,0:00:00,sample,phe-arg-amc,3,live,800,3084.96
61.55,0:00:00,sample,phe-val-arg-amc,1,live,800,2698.49
61.55,0:00:00,sample,phe-val-arg-amc,2,live,800,3374.54
61.55,0:00:00,sample,phe-val-arg-amc,3,live,800,2667.49
61.55,0:00:00,sample,mub-po4,1,killed,800,3426.72
61.55,0:00:00,sample,mub-po4,2,killed,800,3453.62
61.55,0:00:00,sample,mub-po4,3,killed,800,4168.79
61.55,0:00:00,sample,mub-xylo,1,killed,800,283.57
61.55,0:00:00,sample,mub-xylo,2,killed,800,305.53
61.55,0:00:00,sample,mub-xylo,3,killed,800,215.54
61.55,0:00:00,sample,mub-cell,1,killed,800,447.7
61.55,0:00:00,sample,mub-cell,2,killed,800,365.72
61.55,0:00:00,sample,mub-cell,3,killed,800,394.46
61.55,0:00:00,sample,mub-nag,1,killed,800,530.64
61.55,0:00:00,sample,mub-nag,2,killed,800,662.25
61.55,0:00:00,sample,mub-nag,3,killed,800,578.56
61.55,0:00:00,sample,mub-b-glu,1,killed,800,153.21
61.55,0:00:00,sample,mub-b-glu,2,killed,800,203.87
61.55,0:00:00,sample,mub-b-glu,3,killed,800,255.47
61.55,0:00:00,sample,mub-a-glu,1,killed,800,248.9
61.55,0:00:00,sample,mub-a-glu,2,killed,800,261.65
61.55,0:00:00,sample,mub-a-glu,3,killed,800,196.49
61.55,0:00:00,sample,leu-amc,1,killed,800,1314.78
61.55,0:00:00,sample,leu-amc,2,killed,800,1077.93
61.55,0:00:00,sample,leu-amc,3,killed,800,1036.63
61.55,0:00:00,sample,arg-amc,1,killed,800,482.71
61.55,0:00:00,sample,arg-amc,2,killed,800,683.33
61.55,0:00:00,sample,arg-amc,3,killed,800,594.5
61.55,0:00:00,sample,pro-amc,1,killed,800,560.62
61.55,0:00:00,sample,pro-amc,2,killed,800,544.94
61.55,0:00:00,sample,pro-amc,3,killed,800,652.33
61.55,0:00:00,sample,orn-amc,1,killed,800,4016.35
61.55,0:00:00,sample,orn-amc,2,killed,800,4422.95
61.55,0:00:00,sample,orn-amc,3,killed,800,3216.67
61.55,0:00:00,sample,phe-arg-amc,1,killed,800,2206.43
61.55,0:00:00,sample,phe-arg-amc,2,killed,800,2261.49
61.55,0:00:00,sample,phe-arg-amc,3,killed,800,1789.95
61.55,0:00:00,sample,phe-val-arg-amc,1,killed,800,1805.83
61.55,0:00:00,sample,phe-val-arg-amc,2,killed,800,1825.51
61.55,0:00:00,sample,phe-val-arg-amc,3,killed,800,1837.55
61.55,0:00:00,standard,mub-po4,NA,buffer,800,213826.32
61.55,0:00:00,standard,mub-xylo,NA,buffer,800,6390.23
61.55,0:00:00,standard,mub-cell,NA,buffer,800,13117.12
61.55,0:00:00,standard,mub-nag,NA,buffer,800,30853.37
61.55,0:00:00,standard,mub-b-glu,NA,buffer,800,3194.76
61.55,0:00:00,standard,mub-a-glu,NA,buffer,800,5077.56
61.55,0:00:00,standard,leu-amc,NA,buffer,800,160697.7
61.55,0:00:00,standard,arg-amc,NA,buffer,800,201682.2
61.55,0:00:00,standard,pro-amc,NA,buffer,800,118797.75
61.55,0:00:00,standard,orn-amc,NA,buffer,800,595889.43
61.55,0:00:00,standard,phe-arg-amc,NA,buffer,800,433236.71
61.55,0:00:00,standard,phe-val-arg-amc,NA,buffer,800,498561.65
61.55,0:00:00,standard,mub-std,NA,buffer,40,220493.03
61.55,0:00:00,standard,amc-std,NA,buffer,40,45897112
61.55,0:00:00,calib,mub-std,NA,live,0,241.71
61.55,0:00:00,calib,mub-std,NA,live,16,1692.26
61.55,0:00:00,calib,mub-std,NA,live,32,7182.2
61.55,0:00:00,calib,mub-std,NA,live,48,8453.91
61.55,0:00:00,calib,mub-std,NA,live,64,11488.18
61.55,0:00:00,calib,mub-std,NA,live,80,10857.51
61.55,0:00:00,calib,amc-std,NA,live,0,249.96
61.55,0:00:00,calib,amc-std,NA,live,16,63117.04
61.55,0:00:00,calib,amc-std,NA,live,32,88987.01
61.55,0:00:00,calib,amc-std,NA,live,48,125474.03
61.55,0:00:00,calib,amc-std,NA,live,64,170505.1
61.55,0:00:00,calib,amc-std,NA,live,80,206709.35
61.55,1:50:00,sample,mub-po4,1,live,800,5258.71
61.55,1:50:00,sample,mub-po4,2,live,800,5958.56
61.55,1:50:00,sample,mub-po4,3,live,800,6192.88
61.55,1:50:00,sample,mub-xylo,1,live,800,336.18
61.55,1:50:00,sample,mub-xylo,2,live,800,312.85
