depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
43.15,0:00,sample,1,live,0,84.09
43.15,0:00,sample,1,live,80,117.44
43.15,0:00,sample,1,live,160,203.7
43.15,0:00,sample,1,live,240,172.26
43.15,0:00,sample,1,live,320,193.2
43.15,0:00,sample,1,live,400,263.76
43.15,0:00,sample,1,live,480,280.38
43.15,0:00,sample,1,live,560,294.02
43.15,0:00,sample,1,live,640,352
43.15,0:00,sample,1,live,720,409.75
43.15,0:00,sample,2,live,0,84.11
43.15,0:00,sample,2,live,80,89.21
43.15,0:00,sample,2,live,160,125.95
43.15,0:00,sample,2,live,240,178.85
43.15,0:00,sample,2,live,320,220.33
43.15,0:00,sample,2,live,400,196.93
43.15,0:00,sample,2,live,480,266.09
43.15,0:00,sample,2,live,560,398.15
43.15,0:00,sample,2,live,640,468.63
43.15,0:00,sample,2,live,720,408.14
43.15,0:00,sample,1,killed,0,261.87
43.15,0:00,sample,1,killed,80,313.22
43.15,0:00,sample,1,killed,160,396.72
43.15,0:00,sample,1,killed,240,554.53
43.15,0:00,sample,1,killed,320,549.73
43.15,0:00,sample,1,killed,400,649.25
43.15,0:00,sample,1,killed,480,691.1
43.15,0:00,sample,1,killed,560,844.63
43.15,0:00,sample,1,killed,640,845.06
43.15,0:00,sample,1,killed,720,1042
43.15,0:00,sample,2,killed,0,270.65
43.15,0:00,sample,2,killed,80,323.94
43.15,0:00,sample,2,killed,160,360.28
43.15,0:00,sample,2,killed,240,719.5
43.15,0:00,sample,2,killed,320,572.73
43.15,0:00,sample,2,killed,400,607.72
43.15,0:00,sample,2,killed,480,697.52
43.15,0:00,sample,2,killed,560,806.55
43.15,0:00,sample,2,killed,640,979.76
43.15,0:00,sample,2,killed,720,1092.45
43.15,0:00,calib,1,live,0,152.9
43.15,0:00,calib,1,live,10,6537.92
43.15,0:00,calib,1,live,20,12951.14
43.15,0:00,calib,1,live,30,18199.76
43.15,0:00,calib,1,live,40,24927.74
43.15,0:00,calib,1,live,50,30271.8
43.15,9:54,sample,1,live,0,141.26
43.15,9:54,sample,1,live,80,375.89
43.15,9:54,sample,1,live,160,676.74
43.15,9:54,sample,1,live,240,629.46
43.15,9:54,sample,1,live,320,656.75
43.15,9:54,sample,1,live,400,788.47
43.15,9:54,sample,1,live,480,762.39
43.15,9:54,sample,1,live,560,840.71
43.15,9:54,sample,1,live,640,1385.06
43.15,9:54,sample,1,live,720,977.58
43.15,9:54,sample,2,live,0,152.58
43.15,9:54,sample,2,live,80,314.98
43.15,9:54,sample,2,live,160,453.47
43.15,9:54,sample,2,live,240,615.72
43.15,9:54,sample,2,live,320,620.89
43.15,9:54,sample,2,live,400,583.4
43.15,9:54,sample,2,live,480,802.93
43.15,9:54,sample,2,live,560,791.43
43.15,9:54,sample,2,live,640,976.7
43.15,9:54,sample,2,live,720,917.1
43.15,9:54,sample,1,killed,0,367.85
43.15,9:54,sample,1,killed,80,446.98
43.15,9:54,sample,1,killed,160,517.95
43.15,9:54,sample,1,killed,240,695.85
43.15,9:54,sample,1,killed,320,679.86
43.15,9:54,sample,1,killed,400,731.63
43.15,9:54,sample,1,killed,480,791.57
43.15,9:54,sample,1,killed,560,942.32
43.15,9:54,sample,1,killed,640,925.9
43.15,9:54,sample,1,killed,720,1144.64
43.15,9:54,sample,2,killed,0,392.41
43.15,9:54,sample,2,killed,80,474.1
43.15,9:54,sample,2,killed,160,525.08
43.15,9:54,sample,2,killed,240,639.47
43.15,9:54,sample,2,killed,320,713.53
43.15,9:54,sample,2,killed,400,740.65
43.15,9:54,sample,2,killed,480,821.28
43.15,9:54,sample,2,killed,560,931.14
43.15,9:54,sample,2,killed,640,1078.1
43.15,9:54,sample,2,killed,720,1149.92
43.15,9:54,calib,1,live,0,232.24
43.15,9:54,calib,1,live,10,9962.34
43.15,9:54,calib,1,live,20,17928.49
43.15,9:54,calib,1,live,30,27615.08
43.15,9:54,calib,1,live,40,37385.51
43.15,9:54,calib,1,live,50,47407.34
43.15,20:59,sample,1,live,0,162.39
43.15,20:59,sample,1,live,80,708.48
43.15,20:59,sample,1,live,160,1391.21
43.15,20:59,sample,1,live,240,1200.77
43.15,20:59,sample,1,live,320,1154.19
43.15,20:59,sample,1,live,400,1556.97
43.15,20:59,sample,1,live,480,1470.92
43.15,20:59,sample,1,live,560,1498.53
43.15,20:59,sample,1,live,640,1710.04
43.15,20:59,sample,1,live,720,1731.17
43.15,20:59,sample,2,live,0,180.27
43.15,20:59,sample,2,live,80,591.73
43.15,20:59,sample,2,live,160,967.12
43.15,20:59,sample,2,live,240,1037.22
43.15,20:59,sample,2,live,320,1331.64
43.15,20:59,sample,2,live,400,1232.76
43.15,20:59,sample,2,live,480,1485.76
43.15,20:59,sample,2,live,560,1452.06
43.15,20:59,sample,2,live,640,1476.39
43.15,20:59,sample,2,live,720,1823.79
43.15,20:59,sample,1,killed,0,431.83
43.15,20:59,sample,1,killed,80,510.84
43.15,20:59,sample,1,killed,160,591.35
43.15,20:59,sample,1,killed,240,744.92
43.15,20:59,sample,1,killed,320,738.23
43.15,20:59,sample,1,killed,400,781.48
43.15,20:59,sample,1,killed,480,857.14
43.15,20:59,sample,1,killed,560,1057.53
43.15,20:59,sample,1,killed,640,1041.75
43.15,20:59,sample,1,killed,720,1264.96
43.15,20:59,sample,2,killed,0,592.3
43.15,20:59,sample,2,killed,80,573.23
43.15,20:59,sample,2,killed,160,635.08
43.15,20:59,sample,2,killed,240,745.44
43.15,20:59,sample,2,killed,320,792.49
43.15,20:59,sample,2,killed,400,821.27
43.15,20:59,sample,2,killed,480,876.72
43.15,20:59,sample,2,killed,560,1097.43
43.15,20:59,sample,2,killed,640,1475.27
43.15,20:59,sample,2,killed,720,1327.01
43.15,20:59,calib,1,live,0,268.67
43.15,20:59,calib,1,live,10,11639.1
43.15,20:59,calib,1,live,20,22044.25
43.15,20:59,calib,1,live,30,32109.5
43.15,20:59,calib,1,live,40,45573.05
43.15,20:59,calib,1,live,50,51123.87
