elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
0:00:00,sample,mub-po4,1,live,800,9058.70
0:00:00,sample,mub-po4,2,live,800,10023.45
0:00:00,sample,mub-po4,3,live,800,9218.14
0:00:00,sample,mub-xylo,1,live,800,229.92
0:00:00,sample,mub-xylo,2,live,800,225.72
0:00:00,sample,mub-xylo,3,live,800,207.06
0:00:00,sample,mub-cell,1,live,800,205.88
0:00:00,sample,mub-cell,2,live,800,225.50
0:00:00,sample,mub-cell,3,live,800,194.00
0:00:00,sample,mub-nag,1,live,800,346.01
0:00:00,sample,mub-nag,2,live,800,216.18
0:00:00,sample,mub-nag,3,live,800,225.55
0:00:00,sample,mub-b-glu,1,live,800,237.55
0:00:00,sample,mub-b-glu,2,live,800,226.46
0:00:00,sample,mub-b-glu,3,live,800,231.86
0:00:00,sample,mub-a-glu,1,live,800,176.26
0:00:00,sample,mub-a-glu,2,live,800,168.39
0:00:00,sample,mub-a-glu,3,live,800,143.23
0:00:00,sample,leu-amc,1,live,800,910.69
0:00:00,sample,leu-amc,2,live,800,1108.60
0:00:00,sample,leu-amc,3,live,800,1229.99
0:00:00,sample,arg-amc,1,live,800,458.71
0:00:00,sample,arg-amc,2,live,800,757.54
0:00:00,sample,arg-amc,3,live,800,826.24
0:00:00,sample,pro-amc,1,live,800,556.57
0:00:00,sample,pro-amc,2,live,800,460.56
0:00:00,sample,pro-amc,3,live,800,707.74
0:00:00,sample,orn-amc,1,live,800,1889.76
0:00:00,sample,orn-amc,2,live,800,1943.40
0:00:00,sample,orn-amc,3,live,800,1768.11
0:00:00,sample,phe-arg-amc,1,live,800,984.39
0:00:00,sample,phe-arg-amc,2,live,800,971.71
0:00:00,sample,phe-arg-amc,3,live,800,956.93
0:00:00,sample,phe-val-arg-amc,1,live,800,1026.96
0:00:00,sample,phe-val-arg-amc,2,live,800,1104.20
0:00:00,sample,phe-val-arg-amc,3,live,800,1203.36
0:00:00,sample,mub-po4,1,killed,800,32340.62
0:00:00,sample,mub-po4,2,killed,800,29691.99
0:00:00,sample,mub-po4,3,killed,800,26490.39
0:00:00,sample,mub-xylo,1,killed,800,946.14
0:00:00,sample,mub-xylo,2,killed,800,632.20
0:00:00,sample,mub-xylo,3,killed,800,766.31
0:00:00,sample,mub-cell,1,killed,800,755.95
0:00:00,sample,mub-cell,2,killed,800,812.19
0:00:00,sample,mub-cell,3,killed,800,875.13
0:00:00,sample,mub-nag,1,killed,800,812.67
0:00:00,sample,mub-nag,2,killed,800,734.39
0:00:00,sample,mub-nag,3,killed,800,1064.09
0:00:00,sample,mub-b-glu,1,killed,800,855.41
0:00:00,sample,mub-b-glu,2,killed,800,563.92
0:00:00,sample,mub-b-glu,3,killed,800,784.92
0:00:00,sample,mub-a-glu,1,killed,800,768.50
0:00:00,sample,mub-a-glu,2,killed,800,641.27
0:00:00,sample,mub-a-glu,3,killed,800,683.79
0:00:00,sample,leu-amc,1,killed,800,3001.78
0:00:00,sample,leu-amc,2,killed,800,2468.38
0:00:00,sample,leu-amc,3,killed,800,1179.54
0:00:00,sample,arg-amc,1,killed,800,1903.91
0:00:00,sample,arg-amc,2,killed,800,1918.19
0:00:00,sample,arg-amc,3,killed,800,2001.30
0:00:00,sample,pro-amc,1,killed,800,1887.93
0:00:00,sample,pro-amc,2,killed,800,1913.06
0:00:00,sample,pro-amc,3,killed,800,1366.76
0:00:00,sample,orn-amc,1,killed,800,5188.56
0:00:00,sample,orn-amc,2,killed,800,5291.79
0:00:00,sample,orn-amc,3,killed,800,6834.00
0:00:00,sample,phe-arg-amc,1,killed,800,3106.21
0:00:00,sample,phe-arg-amc,2,killed,800,2598.58
0:00:00,sample,phe-arg-amc,3,killed,800,2017.69
0:00:00,sample,phe-val-arg-amc,1,killed,800,1602.62
0:00:00,sample,phe-val-arg-amc,2,killed,800,2202.67
0:00:00,sample,phe-val-arg-amc,3,killed,800,1966.53
0:00:00,standard,mub-po4,NA,buffer,800,2613453.25
0:00:00,standard,mub-xylo,NA,buffer,800,8581.56
0:00:00,standard,mub-cell,NA,buffer,800,8512.07
0:00:00,standard,mub-nag,NA,buffer,800,4592.31
0:00:00,standard,mub-b-glu,NA,buffer,800,3279.37
0:00:00,standard,mub-a-glu,NA,buffer,800,4737.09
0:00:00,standard,leu-amc,NA,buffer,800,168664.40
0:00:00,standard,arg-amc,NA,buffer,800,211954.62
0:00:00,standard,pro-amc,NA,buffer,800,121960.07
0:00:00,standard,orn-amc,NA,buffer,800,532940.25
0:00:00,standard,phe-arg-amc,NA,buffer,800,463621.93
0:00:00,standard,phe-val-arg-amc,NA,buffer,800,494997.50
0:00:00,standard,mub-std,NA,buffer,40,56233.00
0:00:00,standard,amc-std,NA,buffer,40,8538170.00
0:00:00,calib,mub-std,NA,live,0,158.55
0:00:00,calib,mub-std,NA,live,16,840.12
0:00:00,calib,mub-std,NA,live,32,1349.33
0:00:00,calib,mub-std,NA,live,48,2018.50
0:00:00,calib,mub-std,NA,live,64,2754.74
0:00:00,calib,mub-std,NA,live,80,2219.81
0:00:00,calib,amc-std,NA,live,0,151.93
0:00:00,calib,amc-std,NA,live,16,8006.38
0:00:00,calib,amc-std,NA,live,32,17528.52
0:00:00,calib,amc-std,NA,live,48,26888.52
0:00:00,calib,amc-std,NA,live,64,21944.01
0:00:00,calib,amc-std,NA,live,80,32605.55
3:16:00,sample,mub-po4,1,live,800,13282.25
