depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
48.22,0:00:00,sample,mub-po4,1,live,800,507.2
48.22,0:00:00,sample,mub-po4,2,live,800,458.29
48.22,0:00:00,sample,mub-po4,3,live,800,469.94
48.22,0:00:00,sample,mub-xylo,1,live,800,74.62
48.22,0:00:00,sample,mub-xylo,2,live,800,74.1
48.22,0:00:00,sample,mub-xylo,3,live,800,82.03
48.22,0:00:00,sample,mub-cell,1,live,800,95.64
48.22,0:00:00,sample,mub-cell,2,live,800,86.13
48.22,0:00:00,sample,mub-cell,3,live,800,81.81
48.22,0:00:00,sample,mub-nag,1,live,800,124.32
48.22,0:00:00,sample,mub-nag,2,live,800,68.97
48.22,0:00:00,sample,mub-nag,3,live,800,54.43
48.22,0:00:00,sample,mub-b-glu,1,live,800,71.56
48.22,0:00:00,sample,mub-b-glu,2,live,800,77.65
48.22,0:00:00,sample,mub-b-glu,3,live,800,65.47
48.22,0:00:00,sample,mub-a-glu,1,live,800,68.42
48.22,0:00:00,sample,mub-a-glu,2,live,800,70.35
48.22,0:00:00,sample,mub-a-glu,3,live,800,68.47
48.22,0:00:00,sample,leu-amc,1,live,800,144.51
48.22,0:00:00,sample,leu-amc,2,live,800,278.25
48.22,0:00:00,sample,leu-amc,3,live,800,435.53
48.22,0:00:00,sample,arg-amc,1,live,800,116.18
48.22,0:00:00,sample,arg-amc,2,live,800,117.65
48.22,0:00:00,sample,arg-amc,3,live,800,116
48.22,0:00:00,sample,pro-amc,1,live,800,107.55
48.22,0:00:00,sample,pro-amc,2,live,800,109.94
48.22,0:00:00,sample,pro-amc,3,live,800,101.7
48.22,0:00:00,sample,orn-amc,1,live,800,476.74
48.22,0:00:00,sample,orn-amc,2,live,800,542.81
48.22,0:00:00,sample,orn-amc,3,live,800,956.9
48.22,0:00:00,sample,phe-arg-amc,1,live,800,213.78
48.22,0:00:00,sample,phe-arg-amc,2,live,800,409.92
48.22,0:00:00,sample,phe-arg-amc,3,live,800,215.65
48.22,0:00:00,sample,phe-val-arg-amc,1,live,800,278.52
48.22,0:00:00,sample,phe-val-arg-amc,2,live,800,308.71
48.22,0:00:00,sample,phe-val-arg-amc,3,live,800,273.96
48.22,0:00:00,sample,mub-po4,1,killed,800,2197.5
48.22,0:00:00,sample,mub-po4,2,killed,800,2497.9
48.22,0:00:00,sample,mub-po4,3,killed,800,1979.14
48.22,0:00:00,sample,mub-xylo,1,killed,800,311.03
48.22,0:00:00,sample,mub-xylo,2,killed,800,325.84
48.22,0:00:00,sample,mub-xylo,3,killed,800,353.44
48.22,0:00:00,sample,mub-cell,1,killed,800,330.56
48.22,0:00:00,sample,mub-cell,2,killed,800,413.75
48.22,0:00:00,sample,mub-cell,3,killed,800,420.09
48.22,0:00:00,sample,mub-nag,1,killed,800,330.23
48.22,0:00:00,sample,mub-nag,2,killed,800,356.16
48.22,0:00:00,sample,mub-nag,3,killed,800,336.44
48.22,0:00:00,sample,mub-b-glu,1,killed,800,313.5
48.22,0:00:00,sample,mub-b-glu,2,killed,800,335.13
48.22,0:00:00,sample,mub-b-glu,3,killed,800,306.71
48.22,0:00:00,sample,mub-a-glu,1,killed,800,304.92
48.22,0:00:00,sample,mub-a-glu,2,killed,800,317.79
48.22,0:00:00,sample,mub-a-glu,3,killed,800,298.91
48.22,0:00:00,sample,leu-amc,1,killed,800,1416.51
48.22,0:00:00,sample,leu-amc,2,killed,800,1134.93
48.22,0:00:00,sample,leu-amc,3,killed,800,978.28
48.22,0:00:00,sample,arg-amc,1,killed,800,494.71
48.22,0:00:00,sample,arg-amc,2,killed,800,459.74
48.22,0:00:00,sample,arg-amc,3,killed,800,584.25
48.22,0:00:00,sample,pro-amc,1,killed,800,468.48
48.22,0:00:00,sample,pro-amc,2,killed,800,476.16
48.22,0:00:00,sample,pro-amc,3,killed,800,488.34
48.22,0:00:00,sample,orn-amc,1,killed,800,1625.34
48.22,0:00:00,sample,orn-amc,2,killed,800,1687.18
48.22,0:00:00,sample,orn-amc,3,killed,800,1654.71
48.22,0:00:00,sample,phe-arg-amc,1,killed,800,1241.2
48.22,0:00:00,sample,phe-arg-amc,2,killed,800,1111.16
48.22,0:00:00,sample,phe-arg-amc,3,killed,800,967.2
48.22,0:00:00,sample,phe-val-arg-amc,1,killed,800,1000.38
48.22,0:00:00,sample,phe-val-arg-amc,2,killed,800,1091.72
48.22,0:00:00,sample,phe-val-arg-amc,3,killed,800,973.04
48.22,0:00:00,calib,mub-std,NA,live,0,67.95
48.22,0:00:00,calib,mub-std,NA,live,16,402.74
48.22,0:00:00,calib,mub-std,NA,live,32,732.4
48.22,0:00:00,calib,mub-std,NA,live,48,1463.52
48.22,0:00:00,calib,mub-std,NA,live,64,1817.4
48.22,0:00:00,calib,mub-std,NA,live,80,1118.38
48.22,0:00:00,calib,amc-std,NA,live,0,72.16
48.22,0:00:00,calib,amc-std,NA,live,16,3581.94
48.22,0:00:00,calib,amc-std,NA,live,32,7718.71
48.22,0:00:00,calib,amc-std,NA,live,48,10651.87
48.22,0:00:00,calib,amc-std,NA,live,64,13064.63
48.22,0:00:00,calib,amc-std,NA,live,80,15903.36
48.22,15:07:00,sample,mub-po4,1,live,800,1843.39
