depth.mbsf,substrate,treatment,conc.uM,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0.bulk,v0.bulk.se,sed.conc,v0,v0.se
4.5,arg-amc,killed,800,6.640055703738185,250.67515096254058,2.573754056796035,39.936383268192436,0.02742050507757306,0.3996135684975452,12.0,1429.1165982142863,0.004646265890435452,0.0018009405670691946,30.2,1.5384986392170372e-4,5.9633793611562734e-5
4.5,mub-nag,killed,800,15.942083577043572,176.82364284788295,2.0703497651297726,32.12516809875871,1.6427266722138344e-5,0.8556850782318652,12.0,569.3726011904762,0.02799938659449185,0.0036361949289462985,30.2,9.271320064401275e-4,1.204038055942483e-4
4.5,mub-cell,live,800,23.581547179749442,169.42021371473604,1.7278988714052528,26.811431882897242,8.63829261153052e-8,0.9490458852045839,12.0,569.3726011904762,0.041416722775988554,0.0030347418681412924,30.2,0.0013714146614565747,1.0048814132918187e-4
4.5,mub-cell,killed,800,6.210884124587736,144.69666947380028,1.372362943549226,21.294658031495818,0.0010986703494972481,0.6719357736954106,12.0,569.3726011904762,0.010908294694197913,0.002410307311380654,30.2,3.612018110661561e-4,7.981150037684285e-5
4.5,mub-b-glu,live,800,277.09785759564426,14.242911120024425,79.73401632452078,1237.21543130363,0.005968161009419008,0.5470513100968796,12.0,569.3726011904762,0.4866722722805286,0.14003837936319455,30.2,0.016114975903328763,0.0046370324292448525
4.5,orn-amc,live,800,265.9393605553837,2284.0803331965517,42.06573446140253,652.7248745748029,8.658781753073207e-5,0.7998703963263163,12.0,1429.1165982142863,0.18608653827663954,0.029434781258551344,30.2,0.006161805903199985,9.746616310778591e-4
4.5,mub-b-glu,killed,800,8.193231184293937,160.82208465906592,1.0418297038746418,16.1658454677367,1.3674578528961897e-5,0.8608148772759652,12.0,569.3726011904762,0.01438992878681389,0.0018297854545447495,30.2,4.7648770817264536e-4,6.058892233591886e-5
4.5,mub-a-glu,live,800,14.07764102783962,176.37223074229806,0.8443516654972583,13.101621593328252,1.2608744605248514e-8,0.9652753273031083,12.0,569.3726011904762,0.024724830450930196,0.001482950995063409,30.2,8.187029950639138e-4,4.91043375848811e-5
4.5,mub-a-glu,killed,800,6.825196984219826,152.21383694330726,0.9542115866786263,14.806294153834767,3.0948443033234355e-5,0.8364977390588345,12.0,569.3726011904762,0.011987224130471541,0.0016759000778813506,30.2,3.9692795134011724e-4,5.549338006229638e-5
4.5,mub-xylo,killed,800,6.4717849388606314,146.09230116562398,0.6934507779636773,10.76012526265182,2.9821898471401367e-06,0.8970131158866961,12.0,569.3726011904762,0.011366519789201413,0.0012179208773196522,30.2,3.7637482745700045e-4,4.032850587151166e-5
4.5,leu-amc,live,800,544.2403792386442,984.4486876599417,42.04136704465706,652.3467706561968,1.4274193012037678e-7,0.9436880467429063,12.0,1429.1165982142863,0.3808229362941309,0.02941773057369056,30.2,0.012610031003116917,9.740970388639258e-4
4.5,leu-amc,killed,800,16.45521269396017,582.544477832321,4.311023819588164,66.8932212395241,0.0033901093024814107,0.5929921482383758,12.0,1429.1165982142863,0.011514254830236619,0.003016565495757929,30.2,3.8126671623300065e-4,9.988627469397117e-5
4.5,arg-amc,live,800,372.3256976747748,398.17937015067605,31.486114198701234,488.56320243385943,3.3536180258179546e-7,0.9332587725517333,12.0,1429.1165982142863,0.2605285657867274,0.02203187216357563,30.2,0.0086267737015472655,7.295321908468752e-4
4.5,mub-nag,live,800,132.7162115027148,198.2989090917437,17.59312960190725,272.9887748262148,1.962169318921167e-5,0.8505376533037168,12.0,569.3726011904762,0.2330920230886142,0.030899150336919177,30.2,0.007718278910219013,0.0010231506734079197
4.5,phe-val-arg-amc,live,800,960.0025914946916,2053.8157541900296,28.58679366654413,443.57507480611474,1.2955601493162401e-11,0.9912107446025381,12.0,1429.1165982142863,0.6717454633822297,0.02000312200016708,30.2,0.022243227264312243,6.623550331181152e-4
4.5,phe-val-arg-amc,killed,800,4.5696406971082455,498.311901460424,1.0732978331973366,16.65412960275177,0.001669425820109164,0.6444684958634751,12.0,1429.1165982142863,0.003197528251241442,7.510218792073695e-4,30.2,1.0587841891527953e-4,2.486827414593939e-5
4.5,phe-arg-amc,live,800,474.23892815473346,1664.2556301045151,24.566580374399386,381.19429742335274,3.0328905144935138e-9,0.9738666837982145,12.0,1429.1165982142863,0.3318406131083396,0.01719004621812936,30.2,0.010988099771799325,5.692068284148795e-4
4.5,phe-arg-amc,killed,800,6.519122398169951,529.8574172890849,3.4477431580106375,53.497882521069755,0.08794055245516239,0.2633662287707289,12.0,1429.1165982142863,0.004561644869505919,0.0024124995555426833,30.2,1.5104784336112314e-4,7.988409124313521e-5
4.5,pro-amc,killed,800,7.416287142205303,330.41464917465174,1.8136416394845325,28.141883811451972,0.002182084333913855,0.6257667523050816,12.0,1429.1165982142863,0.0051894206193337355,0.0012690648486979432,30.2,1.7183511984548793e-4,4.202201485754779e-5
4.5,orn-amc,killed,800,40.6995591779488,1165.0495667367938,9.42627303313134,146.26543342311012,0.0015186606286169424,0.6508659683010145,12.0,1429.1165982142863,0.02847882337158761,0.006595874013995556,30.2,9.430073964101859e-4,2.1840642430448863e-4
4.5,mub-xylo,live,800,21.34578746221854,166.0466035878228,1.043923041887794,16.198327339492227,0.0023831859876398756,0.9952393076001719,4.0,569.3726011904762,0.03749001518089836,0.0018334620241738033,30.2,0.0012413912311555748,6.071066305211269e-5
