elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
0:00:00,sample,mub-po4,1,live,800,6088.95
0:00:00,sample,mub-po4,2,live,800,6632.97
0:00:00,sample,mub-po4,3,live,800,7979.1
0:00:00,sample,mub-xylo,1,live,800,171.25
0:00:00,sample,mub-xylo,2,live,800,216.01
0:00:00,sample,mub-xylo,3,live,800,194.82
0:00:00,sample,mub-cell,1,live,800,197.02
0:00:00,sample,mub-cell,2,live,800,260.49
0:00:00,sample,mub-cell,3,live,800,204.3
0:00:00,sample,mub-nag,1,live,800,299.15
0:00:00,sample,mub-nag,2,live,800,238.8
0:00:00,sample,mub-nag,3,live,800,213.26
0:00:00,sample,mub-b-glu,1,live,800,163.45
0:00:00,sample,mub-b-glu,2,live,800,247.83
0:00:00,sample,mub-b-glu,3,live,800,174.41
0:00:00,sample,mub-a-glu,1,live,800,198.71
0:00:00,sample,mub-a-glu,2,live,800,162.39
0:00:00,sample,mub-a-glu,3,live,800,199.3
0:00:00,sample,leu-amc,1,live,800,1032.08
0:00:00,sample,leu-amc,2,live,800,954.72
0:00:00,sample,leu-amc,3,live,800,833.86
0:00:00,sample,arg-amc,1,live,800,370.3
0:00:00,sample,arg-amc,2,live,800,474.06
0:00:00,sample,arg-amc,3,live,800,228.25
0:00:00,sample,pro-amc,1,live,800,370.03
0:00:00,sample,pro-amc,2,live,800,345.45
0:00:00,sample,pro-amc,3,live,800,423.79
0:00:00,sample,orn-amc,1,live,800,1069.58
0:00:00,sample,orn-amc,2,live,800,1321.76
0:00:00,sample,orn-amc,3,live,800,972.93
0:00:00,sample,phe-arg-amc,1,live,800,771.94
0:00:00,sample,phe-arg-amc,2,live,800,776.94
0:00:00,sample,phe-arg-amc,3,live,800,866.8
0:00:00,sample,phe-val-arg-amc,1,live,800,696.36
0:00:00,sample,phe-val-arg-amc,2,live,800,792.67
0:00:00,sample,phe-val-arg-amc,3,live,800,720.87
0:00:00,sample,mub-po4,1,killed,800,31478.21
0:00:00,sample,mub-po4,2,killed,800,29772.95
0:00:00,sample,mub-po4,3,killed,800,24306.61
0:00:00,sample,mub-xylo,1,killed,800,769.42
0:00:00,sample,mub-xylo,2,killed,800,847
0:00:00,sample,mub-xylo,3,killed,800,792.27
0:00:00,sample,mub-cell,1,killed,800,780.87
0:00:00,sample,mub-cell,2,killed,800,564.64
0:00:00,sample,mub-cell,3,killed,800,802.16
0:00:00,sample,mub-nag,1,killed,800,1199.38
0:00:00,sample,mub-nag,2,killed,800,1096.8
0:00:00,sample,mub-nag,3,killed,800,1143.19
0:00:00,sample,mub-b-glu,1,killed,800,466.87
0:00:00,sample,mub-b-glu,2,killed,800,690.99
0:00:00,sample,mub-b-glu,3,killed,800,610.39
0:00:00,sample,mub-a-glu,1,killed,800,731.33
0:00:00,sample,mub-a-glu,2,killed,800,711.62
0:00:00,sample,mub-a-glu,3,killed,800,716.73
0:00:00,sample,leu-amc,1,killed,800,2845.55
0:00:00,sample,leu-amc,2,killed,800,2684.72
0:00:00,sample,leu-amc,3,killed,800,2681
0:00:00,sample,arg-amc,1,killed,800,1509.84
0:00:00,sample,arg-amc,2,killed,800,1587.64
0:00:00,sample,arg-amc,3,killed,800,1503.35
0:00:00,sample,pro-amc,1,killed,800,1687.06
0:00:00,sample,pro-amc,2,killed,800,1182.24
0:00:00,sample,pro-amc,3,killed,800,1498.23
0:00:00,sample,orn-amc,1,killed,800,4589.69
0:00:00,sample,orn-amc,2,killed,800,4523.49
0:00:00,sample,orn-amc,3,killed,800,2753.36
0:00:00,sample,phe-arg-amc,1,killed,800,2831.54
0:00:00,sample,phe-arg-amc,2,killed,800,2840.98
0:00:00,sample,phe-arg-amc,3,killed,800,2472.37
0:00:00,sample,phe-val-arg-amc,1,killed,800,2164.35
