depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
11.1,20:36,sample,2,killed,800,
11.1,20:36,calib,1,live,10,29134.57
11.1,20:36,calib,1,live,20,51400.07
11.1,20:36,calib,1,live,30,73814.08
11.1,20:36,calib,1,live,40,87533.22
11.1,20:36,calib,1,live,50,116789
11.1,20:36,calib,1,live,60,129679.96
11.1,20:36,calib,1,live,70,141185.34
11.1,23:16,sample,1,live,0,363.46
11.1,23:16,sample,1,live,80,9672.8
11.1,23:16,sample,1,live,160,12741.97
11.1,23:16,sample,1,live,240,18003.14
11.1,23:16,sample,1,live,320,15243.26
11.1,23:16,sample,1,live,400,18214.33
11.1,23:16,sample,1,live,480,16167.55
11.1,23:16,sample,1,live,560,16754.95
11.1,23:16,sample,1,live,640,16779.54
11.1,23:16,sample,1,live,720,14988.36
11.1,23:16,sample,1,live,800,16087.84
11.1,23:16,sample,2,live,0,418.95
11.1,23:16,sample,2,live,80,9881.09
11.1,23:16,sample,2,live,160,12967.84
11.1,23:16,sample,2,live,240,14596.83
11.1,23:16,sample,2,live,320,16150.81
11.1,23:16,sample,2,live,400,17517.93
11.1,23:16,sample,2,live,480,17086.31
11.1,23:16,sample,2,live,560,18195.75
11.1,23:16,sample,2,live,640,17429.74
11.1,23:16,sample,2,live,720,18874
11.1,23:16,sample,2,live,800,
11.1,23:16,sample,1,killed,0,207.12
11.1,23:16,sample,1,killed,80,279.94
11.1,23:16,sample,1,killed,160,328.21
11.1,23:16,sample,1,killed,240,442.78
11.1,23:16,sample,1,killed,320,391.67
11.1,23:16,sample,1,killed,400,514.82
11.1,23:16,sample,1,killed,480,547.25
11.1,23:16,sample,1,killed,560,554.68
11.1,23:16,sample,1,killed,640,600.36
11.1,23:16,sample,1,killed,720,489.46
11.1,23:16,sample,1,killed,800,215.29
11.1,23:16,sample,2,killed,0,616.76
11.1,23:16,sample,2,killed,80,240.58
11.1,23:16,sample,2,killed,160,300.2
11.1,23:16,sample,2,killed,240,305.5
11.1,23:16,sample,2,killed,320,407.87
11.1,23:16,sample,2,killed,400,454.16
11.1,23:16,sample,2,killed,480,504.8
11.1,23:16,sample,2,killed,560,524.35
11.1,23:16,sample,2,killed,640,630.73
11.1,23:16,sample,2,killed,720,629.13
11.1,23:16,sample,2,killed,800,
11.1,23:16,calib,1,live,10,27319.91
11.1,23:16,calib,1,live,20,58657.69
11.1,23:16,calib,1,live,30,76646.64
11.1,23:16,calib,1,live,40,96772.68
11.1,23:16,calib,1,live,50,113938.82
11.1,23:16,calib,1,live,60,130940.92
11.1,23:16,calib,1,live,70,146609.51
