depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
17.6,0:00,sample,1,live,0,152.21
17.6,0:00,sample,1,live,80,256.5
17.6,0:00,sample,1,live,160,355.64
17.6,0:00,sample,1,live,240,475.17
17.6,0:00,sample,1,live,320,529.61
17.6,0:00,sample,1,live,400,622.79
17.6,0:00,sample,1,live,480,369.36
17.6,0:00,sample,1,live,560,717.13
17.6,0:00,sample,1,live,640,740.62
17.6,0:00,sample,1,live,720,727.07
17.6,0:00,sample,2,live,0,164.35
17.6,0:00,sample,2,live,80,237.87
17.6,0:00,sample,2,live,160,379.1
17.6,0:00,sample,2,live,240,410.49
17.6,0:00,sample,2,live,320,486.9
17.6,0:00,sample,2,live,400,597.48
17.6,0:00,sample,2,live,480,596.75
17.6,0:00,sample,2,live,560,536.27
17.6,0:00,sample,2,live,640,721.78
17.6,0:00,sample,2,live,720,737.56
17.6,0:00,sample,1,killed,0,205.29
17.6,0:00,sample,1,killed,80,248.83
17.6,0:00,sample,1,killed,160,299.13
17.6,0:00,sample,1,killed,240,364.18
17.6,0:00,sample,1,killed,320,380.24
17.6,0:00,sample,1,killed,400,409.38
17.6,0:00,sample,1,killed,480,478.91
17.6,0:00,sample,1,killed,560,492.55
17.6,0:00,sample,1,killed,640,608.91
17.6,0:00,sample,1,killed,720,599.98
17.6,0:00,sample,2,killed,0,215.12
17.6,0:00,sample,2,killed,80,222.77
17.6,0:00,sample,2,killed,160,271.73
17.6,0:00,sample,2,killed,240,317.81
17.6,0:00,sample,2,killed,320,373.59
17.6,0:00,sample,2,killed,400,416.52
17.6,0:00,sample,2,killed,480,488.48
17.6,0:00,sample,2,killed,560,582.15
17.6,0:00,sample,2,killed,640,621.03
17.6,0:00,sample,2,killed,720,694.32
17.6,0:00,calib,1,live,0,299.01
17.6,0:00,calib,1,live,10,10570.99
17.6,0:00,calib,1,live,20,
17.6,0:00,calib,1,live,30,15357.85
17.6,0:00,calib,1,live,40,97386.32
17.6,0:00,calib,1,live,50,69902.03
17.6,5:15,sample,1,live,0,159.55
17.6,5:15,sample,1,live,80,790.04
17.6,5:15,sample,1,live,160,995.22
17.6,5:15,sample,1,live,240,1387.66
17.6,5:15,sample,1,live,320,1387.7
17.6,5:15,sample,1,live,400,1311.76
17.6,5:15,sample,1,live,480,1599.22
17.6,5:15,sample,1,live,560,1914.07
17.6,5:15,sample,1,live,640,1877.81
17.6,5:15,sample,1,live,720,1628.6
17.6,5:15,sample,2,live,0,161.84
17.6,5:15,sample,2,live,80,723.23
17.6,5:15,sample,2,live,160,1073.55
17.6,5:15,sample,2,live,240,1304.85
