elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
0:00:00,sample,mub-po4,1,live,800,834.51
0:00:00,sample,mub-po4,2,live,800,985.78
0:00:00,sample,mub-po4,3,live,800,853.8
0:00:00,sample,mub-xylo,1,live,800,146.22
0:00:00,sample,mub-xylo,2,live,800,127.39
0:00:00,sample,mub-xylo,3,live,800,
0:00:00,sample,mub-cell,1,live,800,286.12
0:00:00,sample,mub-cell,2,live,800,180.88
0:00:00,sample,mub-cell,3,live,800,149.32
0:00:00,sample,mub-nag,1,live,800,186.37
0:00:00,sample,mub-nag,2,live,800,223.88
0:00:00,sample,mub-nag,3,live,800,
0:00:00,sample,mub-b-glu,1,live,800,213.58
0:00:00,sample,mub-b-glu,2,live,800,178.23
0:00:00,sample,mub-b-glu,3,live,800,
0:00:00,sample,mub-a-glu,1,live,800,175.56
0:00:00,sample,mub-a-glu,2,live,800,195
0:00:00,sample,mub-a-glu,3,live,800,
0:00:00,sample,leu-amc,1,live,800,946.93
0:00:00,sample,leu-amc,2,live,800,851.42
0:00:00,sample,leu-amc,3,live,800,639.43
0:00:00,sample,arg-amc,1,live,800,17.09
0:00:00,sample,arg-amc,2,live,800,351.09
0:00:00,sample,arg-amc,3,live,800,98.12
0:00:00,sample,pro-amc,1,live,800,305.09
0:00:00,sample,pro-amc,2,live,800,380.77
0:00:00,sample,pro-amc,3,live,800,
0:00:00,sample,orn-amc,1,live,800,1964.06
0:00:00,sample,orn-amc,2,live,800,2297.29
0:00:00,sample,orn-amc,3,live,800,
0:00:00,sample,phe-arg-amc,1,live,800,916.24
0:00:00,sample,phe-arg-amc,2,live,800,899.06
0:00:00,sample,phe-arg-amc,3,live,800,
0:00:00,sample,phe-val-arg-amc,1,live,800,88.55
0:00:00,sample,phe-val-arg-amc,2,live,800,716.79
0:00:00,sample,phe-val-arg-amc,3,live,800,
0:00:00,sample,mub-po4,1,killed,800,3159.57
0:00:00,sample,mub-po4,2,killed,800,2906.94
0:00:00,sample,mub-po4,3,killed,800,3044.3
0:00:00,sample,mub-xylo,1,killed,800,584
0:00:00,sample,mub-xylo,2,killed,800,576.78
0:00:00,sample,mub-xylo,3,killed,800,517.53
0:00:00,sample,mub-cell,1,killed,800,746.85
0:00:00,sample,mub-cell,2,killed,800,650.39
0:00:00,sample,mub-cell,3,killed,800,691.25
0:00:00,sample,mub-nag,1,killed,800,670.57
0:00:00,sample,mub-nag,2,killed,800,722.82
0:00:00,sample,mub-nag,3,killed,800,660.68
0:00:00,sample,mub-b-glu,1,killed,800,570.25
0:00:00,sample,mub-b-glu,2,killed,800,588.42
0:00:00,sample,mub-b-glu,3,killed,800,434.14
0:00:00,sample,mub-a-glu,1,killed,800,614.7
0:00:00,sample,mub-a-glu,2,killed,800,553.5
0:00:00,sample,mub-a-glu,3,killed,800,522.59
0:00:00,sample,leu-amc,1,killed,800,2825.64
0:00:00,sample,leu-amc,2,killed,800,2032.32
0:00:00,sample,leu-amc,3,killed,800,2239.7
0:00:00,sample,arg-amc,1,killed,800,863.1
0:00:00,sample,arg-amc,2,killed,800,1138.24
0:00:00,sample,arg-amc,3,killed,800,938.51
0:00:00,sample,pro-amc,1,killed,800,1147.89
0:00:00,sample,pro-amc,2,killed,800,1980.62
0:00:00,sample,pro-amc,3,killed,800,1193.91
0:00:00,sample,orn-amc,1,killed,800,5540.94
0:00:00,sample,orn-amc,2,killed,800,5395.26
0:00:00,sample,orn-amc,3,killed,800,4937.83
0:00:00,sample,phe-arg-amc,1,killed,800,2188.82
0:00:00,sample,phe-arg-amc,2,killed,800,1552.92
0:00:00,sample,phe-arg-amc,3,killed,800,2389.47
0:00:00,sample,phe-val-arg-amc,1,killed,800,2824.1
0:00:00,sample,phe-val-arg-amc,2,killed,800,1679.8
0:00:00,sample,phe-val-arg-amc,3,killed,800,2032.65
0:00:00,standard,mub-po4,NA,buffer,800,154758.65
0:00:00,standard,mub-xylo,NA,buffer,800,6179.36
0:00:00,standard,mub-cell,NA,buffer,800,14802.78
0:00:00,standard,mub-nag,NA,buffer,800,11500.81
0:00:00,standard,mub-b-glu,NA,buffer,800,3014.98
0:00:00,standard,mub-a-glu,NA,buffer,800,5719.6
0:00:00,standard,leu-amc,NA,buffer,800,159717.89
0:00:00,standard,arg-amc,NA,buffer,800,203364.34
0:00:00,standard,pro-amc,NA,buffer,800,125548.14
0:00:00,standard,orn-amc,NA,buffer,800,564018.37
0:00:00,standard,phe-arg-amc,NA,buffer,800,472842.56
0:00:00,standard,phe-val-arg-amc,NA,buffer,800,499440.21
0:00:00,standard,mub-std,NA,buffer,40,131728.56
0:00:00,standard,amc-std,NA,buffer,40,44115212
0:00:00,calib,mub-std,NA,live,0,214.39
0:00:00,calib,mub-std,NA,live,16,2596.57
0:00:00,calib,mub-std,NA,live,32,2920.32
0:00:00,calib,mub-std,NA,live,48,5148.53
0:00:00,calib,mub-std,NA,live,64,10222.34
0:00:00,calib,mub-std,NA,live,80,9933.92
0:00:00,calib,amc-std,NA,live,0,101.17
0:00:00,calib,amc-std,NA,live,16,20036.26
0:00:00,calib,amc-std,NA,live,32,20573.2
0:00:00,calib,amc-std,NA,live,48,31561.49
0:00:00,calib,amc-std,NA,live,64,54734.55
0:00:00,calib,amc-std,NA,live,80,89554.92
0:00:00,calib2,mub-std,NA,live,0,140.64
0:00:00,calib2,mub-std,NA,live,16,1077.05
0:00:00,calib2,mub-std,NA,live,32,695.61
0:00:00,calib2,mub-std,NA,live,48,1103.34
0:00:00,calib2,mub-std,NA,live,64,1515.95
0:00:00,calib2,mub-std,NA,live,80,2013.6
0:00:00,calib2,amc-std,NA,live,0,147.69
0:00:00,calib2,amc-std,NA,live,16,3445.53
0:00:00,calib2,amc-std,NA,live,32,8435.17
0:00:00,calib2,amc-std,NA,live,48,8922.39
0:00:00,calib2,amc-std,NA,live,64,12947.05
0:00:00,calib2,amc-std,NA,live,80,33366.8
16:40:00,sample,mub-po4,1,live,800,3992.08
16:40:00,sample,mub-po4,2,live,800,4631.45
16:40:00,sample,mub-po4,3,live,800,4159.48
16:40:00,sample,mub-xylo,1,live,800,252.87
16:40:00,sample,mub-xylo,2,live,800,201.95
16:40:00,sample,mub-xylo,3,live,800,
16:40:00,sample,mub-cell,1,live,800,458.39
16:40:00,sample,mub-cell,2,live,800,330.96
16:40:00,sample,mub-cell,3,live,800,324.76
16:40:00,sample,mub-nag,1,live,800,577.95
16:40:00,sample,mub-nag,2,live,800,793.04
16:40:00,sample,mub-nag,3,live,800,
16:40:00,sample,mub-b-glu,1,live,800,1266.74
16:40:00,sample,mub-b-glu,2,live,800,1752.24
16:40:00,sample,mub-b-glu,3,live,800,
16:40:00,sample,mub-a-glu,1,live,800,328.88
16:40:00,sample,mub-a-glu,2,live,800,345.56
16:40:00,sample,mub-a-glu,3,live,800,
16:40:00,sample,leu-amc,1,live,800,2383.48
16:40:00,sample,leu-amc,2,live,800,2389.94
16:40:00,sample,leu-amc,3,live,800,1652.71
16:40:00,sample,arg-amc,1,live,800,148.87
16:40:00,sample,arg-amc,2,live,800,1498.73
16:40:00,sample,arg-amc,3,live,800,633.54
16:40:00,sample,pro-amc,1,live,800,574.16
16:40:00,sample,pro-amc,2,live,800,664.33
16:40:00,sample,pro-amc,3,live,800,
16:40:00,sample,orn-amc,1,live,800,3341.77
16:40:00,sample,orn-amc,2,live,800,3661.16
16:40:00,sample,orn-amc,3,live,800,
16:40:00,sample,phe-arg-amc,1,live,800,1644.95
16:40:00,sample,phe-arg-amc,2,live,800,1619.28
16:40:00,sample,phe-arg-amc,3,live,800,
16:40:00,sample,phe-val-arg-amc,1,live,800,308.97
16:40:00,sample,phe-val-arg-amc,2,live,800,2048.65
16:40:00,sample,phe-val-arg-amc,3,live,800,
16:40:00,sample,mub-po4,1,killed,800,6744.42
16:40:00,sample,mub-po4,2,killed,800,6336.14
16:40:00,sample,mub-po4,3,killed,800,6083.8
16:40:00,sample,mub-xylo,1,killed,800,716.06
16:40:00,sample,mub-xylo,2,killed,800,970.43
16:40:00,sample,mub-xylo,3,killed,800,664.52
