elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
0:00:00,sample,mub-po4,1,live,800,17277.65
0:00:00,sample,mub-po4,2,live,800,14455.85
0:00:00,sample,mub-po4,3,live,800,18220.43
0:00:00,sample,mub-xylo,1,live,800,561.47
0:00:00,sample,mub-xylo,2,live,800,530.24
0:00:00,sample,mub-xylo,3,live,800,711.99
0:00:00,sample,mub-cell,1,live,800,761.19
0:00:00,sample,mub-cell,2,live,800,283.47
0:00:00,sample,mub-cell,3,live,800,628.97
0:00:00,sample,mub-nag,1,live,800,552.24
0:00:00,sample,mub-nag,2,live,800,577.87
0:00:00,sample,mub-nag,3,live,800,483.50
0:00:00,sample,mub-b-glu,1,live,800,314.27
0:00:00,sample,mub-b-glu,2,live,800,549.70
0:00:00,sample,mub-b-glu,3,live,800,610.62
0:00:00,sample,mub-a-glu,1,live,800,589.39
0:00:00,sample,mub-a-glu,2,live,800,560.31
0:00:00,sample,mub-a-glu,3,live,800,459.17
0:00:00,sample,leu-amc,1,live,800,3747.90
0:00:00,sample,leu-amc,2,live,800,3208.63
0:00:00,sample,leu-amc,3,live,800,2092.72
0:00:00,sample,arg-amc,1,live,800,1180.33
0:00:00,sample,arg-amc,2,live,800,816.21
0:00:00,sample,arg-amc,3,live,800,1106.09
0:00:00,sample,pro-amc,1,live,800,1162.36
0:00:00,sample,pro-amc,2,live,800,828.41
0:00:00,sample,pro-amc,3,live,800,923.96
0:00:00,sample,orn-amc,1,live,800,1878.34
0:00:00,sample,orn-amc,2,live,800,4806.71
0:00:00,sample,orn-amc,3,live,800,1679.01
0:00:00,sample,phe-arg-amc,1,live,800,2627.17
0:00:00,sample,phe-arg-amc,2,live,800,3576.30
0:00:00,sample,phe-arg-amc,3,live,800,2703.56
0:00:00,sample,phe-val-arg-amc,1,live,800,1803.17
0:00:00,sample,phe-val-arg-amc,2,live,800,1098.36
0:00:00,sample,phe-val-arg-amc,3,live,800,2141.49
0:00:00,sample,mub-po4,1,killed,800,11777.62
0:00:00,sample,mub-po4,2,killed,800,8419.41
0:00:00,sample,mub-po4,3,killed,800,13222.88
0:00:00,sample,mub-xylo,1,killed,800,255.74
0:00:00,sample,mub-xylo,2,killed,800,367.54
0:00:00,sample,mub-xylo,3,killed,800,387.02
0:00:00,sample,mub-cell,1,killed,800,496.37
0:00:00,sample,mub-cell,2,killed,800,370.16
0:00:00,sample,mub-cell,3,killed,800,290.37
0:00:00,sample,mub-nag,1,killed,800,324.44
0:00:00,sample,mub-nag,2,killed,800,486.12
0:00:00,sample,mub-nag,3,killed,800,597.74
0:00:00,sample,mub-b-glu,1,killed,800,329.90
0:00:00,sample,mub-b-glu,2,killed,800,248.43
0:00:00,sample,mub-b-glu,3,killed,800,198.69
0:00:00,sample,mub-a-glu,1,killed,800,237.97
0:00:00,sample,mub-a-glu,2,killed,800,365.77
0:00:00,sample,mub-a-glu,3,killed,800,386.83
0:00:00,sample,leu-amc,1,killed,800,1785.86
0:00:00,sample,leu-amc,2,killed,800,1409.10
0:00:00,sample,leu-amc,3,killed,800,833.52
0:00:00,sample,arg-amc,1,killed,800,750.23
0:00:00,sample,arg-amc,2,killed,800,948.78
0:00:00,sample,arg-amc,3,killed,800,680.56
0:00:00,sample,pro-amc,1,killed,800,533.66
0:00:00,sample,pro-amc,2,killed,800,753.23
0:00:00,sample,pro-amc,3,killed,800,160.18
0:00:00,sample,orn-amc,1,killed,800,1992.40
0:00:00,sample,orn-amc,2,killed,800,2454.77
0:00:00,sample,orn-amc,3,killed,800,1949.59
0:00:00,sample,phe-arg-amc,1,killed,800,915.63
0:00:00,sample,phe-arg-amc,2,killed,800,799.58
0:00:00,sample,phe-arg-amc,3,killed,800,739.06
0:00:00,sample,phe-val-arg-amc,1,killed,800,526.61
0:00:00,sample,phe-val-arg-amc,2,killed,800,774.19
0:00:00,sample,phe-val-arg-amc,3,killed,800,862.38
0:00:00,standard,mub-po4,NA,buffer,800,1637698.37
0:00:00,standard,mub-xylo,NA,buffer,800,8699.22
0:00:00,standard,mub-cell,NA,buffer,800,11048.17
0:00:00,standard,mub-nag,NA,buffer,800,21513.25
0:00:00,standard,mub-b-glu,NA,buffer,800,4392.82
0:00:00,standard,mub-a-glu,NA,buffer,800,6094.02
0:00:00,standard,leu-amc,NA,buffer,800,196547.01
0:00:00,standard,arg-amc,NA,buffer,800,227536.25
0:00:00,standard,pro-amc,NA,buffer,800,114483.44
0:00:00,standard,orn-amc,NA,buffer,800,386568.09
0:00:00,standard,phe-arg-amc,NA,buffer,800,411154.18
0:00:00,standard,phe-val-arg-amc,NA,buffer,800,470992.84
0:00:00,standard,mub-std,NA,buffer,40,42358.93
0:00:00,standard,amc-std,NA,buffer,40,14590997.00
0:00:00,calib,mub-std,NA,live,0,311.89
0:00:00,calib,mub-std,NA,live,8,571.85
0:00:00,calib,mub-std,NA,live,16,1164.96
0:00:00,calib,mub-std,NA,live,24,792.84
0:00:00,calib,mub-std,NA,live,32,1373.65
0:00:00,calib,mub-std,NA,live,40,1351.67
0:00:00,calib,amc-std,NA,live,0,553.96
0:00:00,calib,amc-std,NA,live,8,12915.80
0:00:00,calib,amc-std,NA,live,16,21138.29
0:00:00,calib,amc-std,NA,live,24,25484.25
0:00:00,calib,amc-std,NA,live,32,84348.72
0:00:00,calib,amc-std,NA,live,40,41948.21
3:23:00,sample,mub-po4,1,live,800,19638.65
3:23:00,sample,mub-po4,2,live,800,18232.61
3:23:00,sample,mub-po4,3,live,800,23783.66
3:23:00,sample,mub-xylo,1,live,800,683.11
