depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
54.95,0:00:00,sample,mub-po4,1,live,800,2434.13
54.95,0:00:00,sample,mub-po4,2,live,800,3127.81
54.95,0:00:00,sample,mub-po4,3,live,800,3208.8
54.95,0:00:00,sample,mub-xylo,1,live,800,250.25
54.95,0:00:00,sample,mub-xylo,2,live,800,229.03
54.95,0:00:00,sample,mub-xylo,3,live,800,228.71
54.95,0:00:00,sample,mub-cell,1,live,800,309.77
54.95,0:00:00,sample,mub-cell,2,live,800,323.88
54.95,0:00:00,sample,mub-cell,3,live,800,366.98
54.95,0:00:00,sample,mub-nag,1,live,800,339.88
54.95,0:00:00,sample,mub-nag,2,live,800,345.02
54.95,0:00:00,sample,mub-nag,3,live,800,315.78
54.95,0:00:00,sample,mub-b-glu,1,live,800,207.26
54.95,0:00:00,sample,mub-b-glu,2,live,800,292.35
54.95,0:00:00,sample,mub-b-glu,3,live,800,227.94
54.95,0:00:00,sample,mub-a-glu,1,live,800,223.55
54.95,0:00:00,sample,mub-a-glu,2,live,800,219.01
54.95,0:00:00,sample,mub-a-glu,3,live,800,236.61
54.95,0:00:00,sample,leu-amc,1,live,800,1452.56
54.95,0:00:00,sample,leu-amc,2,live,800,1221.78
54.95,0:00:00,sample,leu-amc,3,live,800,1147.08
54.95,0:00:00,sample,arg-amc,1,live,800,450.47
54.95,0:00:00,sample,arg-amc,2,live,800,507.46
54.95,0:00:00,sample,arg-amc,3,live,800,517.56
54.95,0:00:00,sample,pro-amc,1,live,800,521.13
54.95,0:00:00,sample,pro-amc,2,live,800,503.16
54.95,0:00:00,sample,pro-amc,3,live,800,587.5
54.95,0:00:00,sample,orn-amc,1,live,800,2800.28
54.95,0:00:00,sample,orn-amc,2,live,800,2780.48
54.95,0:00:00,sample,orn-amc,3,live,800,3043.42
54.95,0:00:00,sample,phe-arg-amc,1,live,800,1781.71
54.95,0:00:00,sample,phe-arg-amc,2,live,800,2128.54
54.95,0:00:00,sample,phe-arg-amc,3,live,800,1799.97
54.95,0:00:00,sample,phe-val-arg-amc,1,live,800,1521.57
54.95,0:00:00,sample,phe-val-arg-amc,2,live,800,1556.93
54.95,0:00:00,sample,phe-val-arg-amc,3,live,800,1527.24
54.95,0:00:00,sample,mub-po4,1,killed,800,4189.4
54.95,0:00:00,sample,mub-po4,2,killed,800,4251.28
54.95,0:00:00,sample,mub-po4,3,killed,800,4251.7
54.95,0:00:00,sample,mub-xylo,1,killed,800,386.75
54.95,0:00:00,sample,mub-xylo,2,killed,800,367.72
54.95,0:00:00,sample,mub-xylo,3,killed,800,340.47
54.95,0:00:00,sample,mub-cell,1,killed,800,586.81
54.95,0:00:00,sample,mub-cell,2,killed,800,495.24
