depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU,
43.15,19:20:00,sample,mub-po4,1,live,800,4302.67,
43.15,19:20:00,sample,mub-po4,2,live,800,4007.43,
43.15,19:20:00,sample,mub-po4,3,live,800,3956.81,
43.15,19:20:00,sample,mub-xylo,1,live,800,274.24,
43.15,19:20:00,sample,mub-xylo,2,live,800,246.97,
43.15,19:20:00,sample,mub-xylo,3,live,800,,
43.15,19:20:00,sample,mub-cell,1,live,800,303.48,
43.15,19:20:00,sample,mub-cell,2,live,800,281.49,
43.15,19:20:00,sample,mub-cell,3,live,800,248.09,
43.15,19:20:00,sample,mub-nag,1,live,800,857.14,
43.15,19:20:00,sample,mub-nag,2,live,800,888.69,
43.15,19:20:00,sample,mub-nag,3,live,800,856.58,
43.15,19:20:00,sample,mub-b-glu,1,live,800,622.48,
43.15,19:20:00,sample,mub-b-glu,2,live,800,706.45,
43.15,19:20:00,sample,mub-b-glu,3,live,800,670.11,
43.15,19:20:00,sample,mub-a-glu,1,live,800,285.17,
43.15,19:20:00,sample,mub-a-glu,2,live,800,285.68,
43.15,19:20:00,sample,mub-a-glu,3,live,800,338.4,
43.15,19:20:00,sample,leu-amc,1,live,800,1687.64,
43.15,19:20:00,sample,leu-amc,2,live,800,1949.3,
43.15,19:20:00,sample,leu-amc,3,live,800,1682,
43.15,19:20:00,sample,arg-amc,1,live,800,1234.62,
43.15,19:20:00,sample,arg-amc,2,live,800,1262.26,
43.15,19:20:00,sample,arg-amc,3,live,800,1139.42,
43.15,19:20:00,sample,pro-amc,1,live,800,498.89,
43.15,19:20:00,sample,pro-amc,2,live,800,676.34,
43.15,19:20:00,sample,pro-amc,3,live,800,560.93,
43.15,19:20:00,sample,orn-amc,1,live,800,1763.87,
43.15,19:20:00,sample,orn-amc,2,live,800,1745.02,
43.15,19:20:00,sample,orn-amc,3,live,800,2101.5,
43.15,19:20:00,sample,phe-arg-amc,1,live,800,1206.9,
43.15,19:20:00,sample,phe-arg-amc,2,live,800,1027.99,
43.15,19:20:00,sample,phe-arg-amc,3,live,800,1253.73,
43.15,19:20:00,sample,phe-val-arg-amc,1,live,800,2379.7,
43.15,19:20:00,sample,phe-val-arg-amc,2,live,800,1913.96,
43.15,19:20:00,sample,phe-val-arg-amc,3,live,800,2326.55,
43.15,19:20:00,sample,mub-po4,1,killed,800,1905.56,
43.15,19:20:00,sample,mub-po4,2,killed,800,2027.88,
43.15,19:20:00,sample,mub-po4,3,killed,800,2262.06,
43.15,19:20:00,sample,mub-xylo,1,killed,800,,
43.15,19:20:00,sample,mub-xylo,2,killed,800,286,
43.15,19:20:00,sample,mub-xylo,3,killed,800,206.2,
43.15,19:20:00,sample,mub-cell,1,killed,800,179.1,
43.15,19:20:00,sample,mub-cell,2,killed,800,218.84,
43.15,19:20:00,sample,mub-cell,3,killed,800,210.15,
43.15,19:20:00,sample,mub-nag,1,killed,800,203.22,
43.15,19:20:00,sample,mub-nag,2,killed,800,398.8,
43.15,19:20:00,sample,mub-nag,3,killed,800,426.06,
43.15,19:20:00,sample,mub-b-glu,1,killed,800,394.21,
43.15,19:20:00,sample,mub-b-glu,2,killed,800,173.25,
43.15,19:20:00,sample,mub-b-glu,3,killed,800,233.9,
43.15,19:20:00,sample,mub-a-glu,1,killed,800,187.96,
43.15,19:20:00,sample,mub-a-glu,2,killed,800,216.76,
43.15,19:20:00,sample,mub-a-glu,3,killed,800,226.49,
43.15,19:20:00,sample,leu-amc,1,killed,800,443.85,
43.15,19:20:00,sample,leu-amc,2,killed,800,121.1,
43.15,19:20:00,sample,leu-amc,3,killed,800,385.02,
43.15,19:20:00,sample,arg-amc,1,killed,800,247.52,
43.15,19:20:00,sample,arg-amc,2,killed,800,683.05,
43.15,19:20:00,sample,arg-amc,3,killed,800,241.38,
43.15,19:20:00,sample,pro-amc,1,killed,800,270.98,
43.15,19:20:00,sample,pro-amc,2,killed,800,270.38,
43.15,19:20:00,sample,pro-amc,3,killed,800,270.51,
43.15,19:20:00,sample,orn-amc,1,killed,800,1217.35,
43.15,19:20:00,sample,orn-amc,2,killed,800,1045.99,
43.15,19:20:00,sample,orn-amc,3,killed,800,1085.27,
43.15,19:20:00,sample,phe-arg-amc,1,killed,800,442.3,
43.15,19:20:00,sample,phe-arg-amc,2,killed,800,394.07,
43.15,19:20:00,sample,phe-arg-amc,3,killed,800,405.33,
43.15,19:20:00,sample,phe-val-arg-amc,1,killed,800,413.88,
43.15,19:20:00,sample,phe-val-arg-amc,2,killed,800,386.46,
43.15,19:20:00,sample,phe-val-arg-amc,3,killed,800,344.6,
43.15,19:20:00,standard,mub-po4,NA,buffer,800,248991.32,
43.15,19:20:00,standard,mub-xylo,NA,buffer,800,6151.71,
43.15,19:20:00,standard,mub-cell,NA,buffer,800,17489.48,
43.15,19:20:00,standard,mub-nag,NA,buffer,800,39776.5,
43.15,19:20:00,standard,mub-b-glu,NA,buffer,800,3856.64,
43.15,19:20:00,standard,mub-a-glu,NA,buffer,800,7907.9,
43.15,19:20:00,standard,leu-amc,NA,buffer,800,257276.62,
43.15,19:20:00,standard,arg-amc,NA,buffer,800,205917.29,
43.15,19:20:00,standard,pro-amc,NA,buffer,800,168420.68,
43.15,19:20:00,standard,orn-amc,NA,buffer,800,717545.37,
43.15,19:20:00,standard,phe-arg-amc,NA,buffer,800,469901.4,
43.15,19:20:00,standard,phe-val-arg-amc,NA,buffer,800,464635.46,
43.15,19:20:00,standard,mub-std,NA,buffer,40,3456347.5,
43.15,19:20:00,standard,amc-std,NA,buffer,40,44992964,
43.15,19:20:00,calib,mub-std,NA,live,0,219.57,
43.15,19:20:00,calib,mub-std,NA,live,16,9757.15,
43.15,19:20:00,calib,mub-std,NA,live,32,18245.72,
43.15,19:20:00,calib,mub-std,NA,live,48,27398.45,
43.15,19:20:00,calib,mub-std,NA,live,64,34955.11,
43.15,19:20:00,calib,mub-std,NA,live,80,38297.78,
43.15,19:20:00,calib,amc-std,NA,live,0,176.49,
43.15,19:20:00,calib,amc-std,NA,live,16,10875.62,
43.15,19:20:00,calib,amc-std,NA,live,32,19763.19,
43.15,19:20:00,calib,amc-std,NA,live,48,32398.82,
43.15,19:20:00,calib,amc-std,NA,live,64,44969.38,
43.15,19:20:00,calib,amc-std,NA,live,80,56523.53,
43.15,21:56:00,sample,mub-po4,1,live,800,7286.6,12:26 PM
43.15,21:56:00,sample,mub-po4,2,live,800,5204.08,
43.15,21:56:00,sample,mub-po4,3,live,800,5423.16,
43.15,21:56:00,sample,mub-xylo,1,live,800,460.2,
43.15,21:56:00,sample,mub-xylo,2,live,800,419.41,
43.15,21:56:00,sample,mub-xylo,3,live,800,,
43.15,21:56:00,sample,mub-cell,1,live,800,330.46,
43.15,21:56:00,sample,mub-cell,2,live,800,293.47,
43.15,21:56:00,sample,mub-cell,3,live,800,283.06,
43.15,21:56:00,sample,mub-nag,1,live,800,1031.97,
43.15,21:56:00,sample,mub-nag,2,live,800,1021.49,
43.15,21:56:00,sample,mub-nag,3,live,800,1048.58,
43.15,21:56:00,sample,mub-b-glu,1,live,800,890.44,
43.15,21:56:00,sample,mub-b-glu,2,live,800,969.49,
43.15,21:56:00,sample,mub-b-glu,3,live,800,914.86,
43.15,21:56:00,sample,mub-a-glu,1,live,800,328.46,
43.15,21:56:00,sample,mub-a-glu,2,live,800,492.87,
43.15,21:56:00,sample,mub-a-glu,3,live,800,388.22,
43.15,21:56:00,sample,leu-amc,1,live,800,2003.04,
43.15,21:56:00,sample,leu-amc,2,live,800,2506.95,
43.15,21:56:00,sample,leu-amc,3,live,800,1805.71,
43.15,21:56:00,sample,arg-amc,1,live,800,1446.67,
43.15,21:56:00,sample,arg-amc,2,live,800,1561.37,
43.15,21:56:00,sample,arg-amc,3,live,800,1446.39,
43.15,21:56:00,sample,pro-amc,1,live,800,556.77,
43.15,21:56:00,sample,pro-amc,2,live,800,768.46,
43.15,21:56:00,sample,pro-amc,3,live,800,620.31,
43.15,21:56:00,sample,orn-amc,1,live,800,1972.99,
43.15,21:56:00,sample,orn-amc,2,live,800,2780.25,
43.15,21:56:00,sample,orn-amc,3,live,800,2211.33,
43.15,21:56:00,sample,phe-arg-amc,1,live,800,1277.95,
43.15,21:56:00,sample,phe-arg-amc,2,live,800,1232.54,
43.15,21:56:00,sample,phe-arg-amc,3,live,800,1382.98,
43.15,21:56:00,sample,phe-val-arg-amc,1,live,800,2931.26,
43.15,21:56:00,sample,phe-val-arg-amc,2,live,800,2269.61,
43.15,21:56:00,sample,phe-val-arg-amc,3,live,800,2819.75,
43.15,21:56:00,sample,mub-po4,1,killed,800,2242.57,
43.15,21:56:00,sample,mub-po4,2,killed,800,2356.48,
43.15,21:56:00,sample,mub-po4,3,killed,800,3528.64,
43.15,21:56:00,sample,mub-xylo,1,killed,800,211.73,
43.15,21:56:00,sample,mub-xylo,2,killed,800,223.3,
43.15,21:56:00,sample,mub-xylo,3,killed,800,214.11,
43.15,21:56:00,sample,mub-cell,1,killed,800,236.82,
43.15,21:56:00,sample,mub-cell,2,killed,800,249.2,
43.15,21:56:00,sample,mub-cell,3,killed,800,239.92,
43.15,21:56:00,sample,mub-nag,1,killed,800,443.07,
43.15,21:56:00,sample,mub-nag,2,killed,800,479.31,
43.15,21:56:00,sample,mub-nag,3,killed,800,647.81,
43.15,21:56:00,sample,mub-b-glu,1,killed,800,200.61,
43.15,21:56:00,sample,mub-b-glu,2,killed,800,257.65,
43.15,21:56:00,sample,mub-b-glu,3,killed,800,201.73,
43.15,21:56:00,sample,mub-a-glu,1,killed,800,209.44,
43.15,21:56:00,sample,mub-a-glu,2,killed,800,257.44,
43.15,21:56:00,sample,mub-a-glu,3,killed,800,266.36,
43.15,21:56:00,sample,leu-amc,1,killed,800,457.08,
43.15,21:56:00,sample,leu-amc,2,killed,800,119.23,
43.15,21:56:00,sample,leu-amc,3,killed,800,409.05,
43.15,21:56:00,sample,arg-amc,1,killed,800,269,
43.15,21:56:00,sample,arg-amc,2,killed,800,692.21,
43.15,21:56:00,sample,arg-amc,3,killed,800,253.94,
43.15,21:56:00,sample,pro-amc,1,killed,800,310.77,
43.15,21:56:00,sample,pro-amc,2,killed,800,273.35,
43.15,21:56:00,sample,pro-amc,3,killed,800,256.36,
43.15,21:56:00,sample,orn-amc,1,killed,800,1275.25,
43.15,21:56:00,sample,orn-amc,2,killed,800,1120.24,
43.15,21:56:00,sample,orn-amc,3,killed,800,1258.05,
43.15,21:56:00,sample,phe-arg-amc,1,killed,800,419.83,
43.15,21:56:00,sample,phe-arg-amc,2,killed,800,609.22,
43.15,21:56:00,sample,phe-arg-amc,3,killed,800,,
43.15,21:56:00,sample,phe-val-arg-amc,1,killed,800,383.74,
