trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
1,3:48:00,sample,mub-nag,1,live,800,2041.66
1,3:48:00,sample,mub-nag,2,live,800,1958.32
1,3:48:00,sample,mub-nag,3,live,800,2030.71
1,3:48:00,sample,mub-b-glu,1,live,800,3449.27
1,3:48:00,sample,mub-b-glu,2,live,800,3544.68
1,3:48:00,sample,mub-b-glu,3,live,800,3762.88
1,3:48:00,sample,mub-a-glu,1,live,800,540.2
1,3:48:00,sample,mub-a-glu,2,live,800,594.66
1,3:48:00,sample,mub-a-glu,3,live,800,578.23
1,3:48:00,sample,leu-amc,1,live,800,8669.5
1,3:48:00,sample,leu-amc,2,live,800,6857.47
1,3:48:00,sample,leu-amc,3,live,800,6034.24
1,3:48:00,sample,arg-amc,1,live,800,4434.52
1,3:48:00,sample,arg-amc,2,live,800,4455.09
1,3:48:00,sample,arg-amc,3,live,800,3717.75
1,3:48:00,sample,pro-amc,1,live,800,2875
1,3:48:00,sample,pro-amc,2,live,800,2333.23
1,3:48:00,sample,pro-amc,3,live,800,2156.01
1,3:48:00,sample,orn-amc,1,live,800,5707.8
1,3:48:00,sample,orn-amc,2,live,800,6461.17
1,3:48:00,sample,orn-amc,3,live,800,7187.53
1,3:48:00,sample,phe-arg-amc,1,live,800,6694.34
1,3:48:00,sample,phe-arg-amc,2,live,800,6540.86
1,3:48:00,sample,phe-arg-amc,3,live,800,5767.09
1,3:48:00,sample,phe-val-arg-amc,1,live,800,10285.26
1,3:48:00,sample,phe-val-arg-amc,2,live,800,11576.13
1,3:48:00,sample,phe-val-arg-amc,3,live,800,10795.63
1,3:48:00,sample,mub-po4,1,killed,800,75595.13
1,3:48:00,sample,mub-po4,2,killed,800,65361.08
1,3:48:00,sample,mub-po4,3,killed,800,63214.3
1,3:48:00,sample,mub-xylo,1,killed,800,2632.83
1,3:48:00,sample,mub-xylo,2,killed,800,2468.96
1,3:48:00,sample,mub-xylo,3,killed,800,2568.42
1,3:48:00,sample,mub-cell,1,killed,800,2620.34
1,3:48:00,sample,mub-cell,2,killed,800,2659.28
1,3:48:00,sample,mub-cell,3,killed,800,3019.19
1,3:48:00,sample,mub-nag,1,killed,800,3364.05
1,3:48:00,sample,mub-nag,2,killed,800,3519.07
1,3:48:00,sample,mub-nag,3,killed,800,2727.27
1,3:48:00,sample,mub-b-glu,1,killed,800,1952.61
1,3:48:00,sample,mub-b-glu,2,killed,800,2546.37
1,3:48:00,sample,mub-b-glu,3,killed,800,2681.89
1,3:48:00,sample,mub-a-glu,1,killed,800,2456.04
1,3:48:00,sample,mub-a-glu,2,killed,800,2752.91
1,3:48:00,sample,mub-a-glu,3,killed,800,2768.33
1,3:48:00,sample,leu-amc,1,killed,800,14203.65
1,3:48:00,sample,leu-amc,2,killed,800,14791.77
1,3:48:00,sample,leu-amc,3,killed,800,13917.54
1,3:48:00,sample,arg-amc,1,killed,800,10776.87
1,3:48:00,sample,arg-amc,2,killed,800,10247.65
1,3:48:00,sample,arg-amc,3,killed,800,10178.99
1,3:48:00,sample,pro-amc,1,killed,800,9257.78
1,3:48:00,sample,pro-amc,2,killed,800,8849.73
1,3:48:00,sample,pro-amc,3,killed,800,8947.42
1,3:48:00,sample,orn-amc,1,killed,800,26047.47
1,3:48:00,sample,orn-amc,2,killed,800,26784
1,3:48:00,sample,orn-amc,3,killed,800,20329.45
1,3:48:00,sample,phe-arg-amc,1,killed,800,11198.15
1,3:48:00,sample,phe-arg-amc,2,killed,800,14310.96
1,3:48:00,sample,phe-arg-amc,3,killed,800,10831.71
1,3:48:00,sample,phe-val-arg-amc,1,killed,800,14521.3
1,3:48:00,sample,phe-val-arg-amc,2,killed,800,11894.95
1,3:48:00,sample,phe-val-arg-amc,3,killed,800,13329.75
1,3:48:00,standard,mub-po4,NA,buffer,800,743082.81
1,3:48:00,standard,mub-xylo,NA,buffer,800,8393.83
1,3:48:00,standard,mub-cell,NA,buffer,800,10833
1,3:48:00,standard,mub-nag,NA,buffer,800,12738.05
1,3:48:00,standard,mub-b-glu,NA,buffer,800,3255.87
1,3:48:00,standard,mub-a-glu,NA,buffer,800,4929.96
1,3:48:00,standard,leu-amc,NA,buffer,800,207812.56
1,3:48:00,standard,arg-amc,NA,buffer,800,232993.92
1,3:48:00,standard,pro-amc,NA,buffer,800,122560.53
1,3:48:00,standard,orn-amc,NA,buffer,800,430869.12
1,3:48:00,standard,phe-arg-amc,NA,buffer,800,27656.16
1,3:48:00,standard,phe-val-arg-amc,NA,buffer,800,477163.37
1,3:48:00,standard,mub-std,NA,buffer,40,80854.23
1,3:48:00,standard,amc-std,NA,buffer,40,15013550
1,18:36:00,sample,mub-po4,1,live,800,93394.93
1,18:36:00,sample,mub-po4,2,live,800,108500.36
1,18:36:00,sample,mub-po4,3,live,800,1747.52
1,18:36:00,sample,mub-xylo,1,live,800,1746.28
1,18:36:00,sample,mub-xylo,2,live,800,3172.82
1,18:36:00,sample,mub-xylo,3,live,800,81515.35
1,18:36:00,sample,mub-cell,1,live,800,1581.12
1,18:36:00,sample,mub-cell,2,live,800,1663.53
1,18:36:00,sample,mub-cell,3,live,800,1822.07
1,18:36:00,sample,mub-nag,1,live,800,8114.77
1,18:36:00,sample,mub-nag,2,live,800,6350.06
1,18:36:00,sample,mub-nag,3,live,800,7431.22
1,18:36:00,sample,mub-b-glu,1,live,800,17289.21
1,18:36:00,sample,mub-b-glu,2,live,800,16383.59
1,18:36:00,sample,mub-b-glu,3,live,800,16270.97
1,18:36:00,sample,mub-a-glu,1,live,800,1044.62
1,18:36:00,sample,mub-a-glu,2,live,800,958.48
1,18:36:00,sample,mub-a-glu,3,live,800,986.67
1,18:36:00,sample,leu-amc,1,live,800,20633.53
1,18:36:00,sample,leu-amc,2,live,800,24063.21
1,18:36:00,sample,leu-amc,3,live,800,19318.43
1,18:36:00,sample,arg-amc,1,live,800,16623.55
1,18:36:00,sample,arg-amc,2,live,800,16579.38
1,18:36:00,sample,arg-amc,3,live,800,14616.07
1,18:36:00,sample,pro-amc,1,live,800,7830.99
1,18:36:00,sample,pro-amc,2,live,800,5873.88
1,18:36:00,sample,pro-amc,3,live,800,6181.94
1,18:36:00,sample,orn-amc,1,live,800,10300.99
1,18:36:00,sample,orn-amc,2,live,800,11611.53
1,18:36:00,sample,orn-amc,3,live,800,13607.62
1,18:36:00,sample,phe-arg-amc,1,live,800,19284.97
1,18:36:00,sample,phe-arg-amc,2,live,800,19605.36
1,18:36:00,sample,phe-arg-amc,3,live,800,20678.77
1,18:36:00,sample,phe-val-arg-amc,1,live,800,41657.14
1,18:36:00,sample,phe-val-arg-amc,2,live,800,51674.88
1,18:36:00,sample,phe-val-arg-amc,3,live,800,42474.48
1,18:36:00,sample,mub-po4,1,killed,800,86812.89
1,18:36:00,sample,mub-po4,2,killed,800,72600.78
1,18:36:00,sample,mub-po4,3,killed,800,72302.79
1,18:36:00,sample,mub-xylo,1,killed,800,2876.08
1,18:36:00,sample,mub-xylo,2,killed,800,2620.24
1,18:36:00,sample,mub-xylo,3,killed,800,2899.2
1,18:36:00,sample,mub-cell,1,killed,800,2767.27
1,18:36:00,sample,mub-cell,2,killed,800,2760.86
1,18:36:00,sample,mub-cell,3,killed,800,2930.69
1,18:36:00,sample,mub-nag,1,killed,800,4502.31
1,18:36:00,sample,mub-nag,2,killed,800,4312.77
1,18:36:00,sample,mub-nag,3,killed,800,3971.15
1,18:36:00,sample,mub-b-glu,1,killed,800,2293.02
1,18:36:00,sample,mub-b-glu,2,killed,800,2589.89
1,18:36:00,sample,mub-b-glu,3,killed,800,2718.14
1,18:36:00,sample,mub-a-glu,1,killed,800,2958.27
1,18:36:00,sample,mub-a-glu,2,killed,800,3147.08
1,18:36:00,sample,mub-a-glu,3,killed,800,3128.89
1,18:36:00,sample,leu-amc,1,killed,800,14542.46
1,18:36:00,sample,leu-amc,2,killed,800,14665.53
1,18:36:00,sample,leu-amc,3,killed,800,14150.63
1,18:36:00,sample,arg-amc,1,killed,800,12849.32
1,18:36:00,sample,arg-amc,2,killed,800,12421.4
1,18:36:00,sample,arg-amc,3,killed,800,12097.45
1,18:36:00,sample,pro-amc,1,killed,800,10551.25
1,18:36:00,sample,pro-amc,2,killed,800,12738.91
1,18:36:00,sample,pro-amc,3,killed,800,10113.75
1,18:36:00,sample,orn-amc,1,killed,800,29053.71
1,18:36:00,sample,orn-amc,2,killed,800,27496.33
1,18:36:00,sample,orn-amc,3,killed,800,23721.45
1,18:36:00,sample,phe-arg-amc,1,killed,800,11363.76
1,18:36:00,sample,phe-arg-amc,2,killed,800,13768.38
1,18:36:00,sample,phe-arg-amc,3,killed,800,11299.05
