depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
77.92,0:00:00,sample,mub-po4,1,live,800,6012.83
77.92,0:00:00,sample,mub-po4,2,live,800,6033.5
77.92,0:00:00,sample,mub-po4,3,live,800,6044.22
77.92,0:00:00,sample,mub-xylo,1,live,800,348.28
77.92,0:00:00,sample,mub-xylo,2,live,800,338.44
77.92,0:00:00,sample,mub-xylo,3,live,800,352.85
77.92,0:00:00,sample,mub-cell,1,live,800,442.53
77.92,0:00:00,sample,mub-cell,2,live,800,492.35
77.92,0:00:00,sample,mub-cell,3,live,800,487.53
77.92,0:00:00,sample,mub-nag,1,live,800,295.97
77.92,0:00:00,sample,mub-nag,2,live,800,284.27
77.92,0:00:00,sample,mub-nag,3,live,800,301.02
77.92,0:00:00,sample,mub-b-glu,1,live,800,355.5
77.92,0:00:00,sample,mub-b-glu,2,live,800,282.5
77.92,0:00:00,sample,mub-b-glu,3,live,800,266.8
77.92,0:00:00,sample,mub-a-glu,1,live,800,323.21
77.92,0:00:00,sample,mub-a-glu,2,live,800,310.23
77.92,0:00:00,sample,mub-a-glu,3,live,800,323.4
77.92,0:00:00,sample,leu-amc,1,live,800,2347.95
77.92,0:00:00,sample,leu-amc,2,live,800,2454.94
77.92,0:00:00,sample,leu-amc,3,live,800,2320
77.92,0:00:00,sample,arg-amc,1,live,800,1282.78
77.92,0:00:00,sample,arg-amc,2,live,800,1091.26
77.92,0:00:00,sample,arg-amc,3,live,800,1187.16
77.92,0:00:00,sample,pro-amc,1,live,800,791.82
77.92,0:00:00,sample,pro-amc,2,live,800,851.93
77.92,0:00:00,sample,pro-amc,3,live,800,754.82
77.92,0:00:00,sample,orn-amc,1,live,800,4186.61
77.92,0:00:00,sample,orn-amc,2,live,800,4905.71
77.92,0:00:00,sample,orn-amc,3,live,800,4147.77
77.92,0:00:00,sample,phe-arg-amc,1,live,800,2783
77.92,0:00:00,sample,phe-arg-amc,2,live,800,3449.31
77.92,0:00:00,sample,phe-arg-amc,3,live,800,3003.89
77.92,0:00:00,sample,phe-val-arg-amc,1,live,800,3488.73
77.92,0:00:00,sample,phe-val-arg-amc,2,live,800,3732.69
77.92,0:00:00,sample,phe-val-arg-amc,3,live,800,3698.39
77.92,0:00:00,sample,mub-po4,1,killed,800,833.56
77.92,0:00:00,sample,mub-po4,2,killed,800,872.55
77.92,0:00:00,sample,mub-po4,3,killed,800,904.43
77.92,0:00:00,sample,mub-xylo,1,killed,800,191.51
77.92,0:00:00,sample,mub-xylo,2,killed,800,196.79
77.92,0:00:00,sample,mub-xylo,3,killed,800,185.88
77.92,0:00:00,sample,mub-cell,1,killed,800,287.19
77.92,0:00:00,sample,mub-cell,2,killed,800,266
77.92,0:00:00,sample,mub-cell,3,killed,800,269.56
77.92,0:00:00,sample,mub-nag,1,killed,800,184.01
77.92,0:00:00,sample,mub-nag,2,killed,800,186.65
77.92,0:00:00,sample,mub-nag,3,killed,800,187.1
77.92,0:00:00,sample,mub-b-glu,1,killed,800,168.53
77.92,0:00:00,sample,mub-b-glu,2,killed,800,162.08
77.92,0:00:00,sample,mub-b-glu,3,killed,800,153.28
77.92,0:00:00,sample,mub-a-glu,1,killed,800,241.65
77.92,0:00:00,sample,mub-a-glu,2,killed,800,196.18
77.92,0:00:00,sample,mub-a-glu,3,killed,800,201.78
77.92,0:00:00,sample,leu-amc,1,killed,800,1161.7
77.92,0:00:00,sample,leu-amc,2,killed,800,1119.69
77.92,0:00:00,sample,leu-amc,3,killed,800,1079.42
77.92,0:00:00,sample,arg-amc,1,killed,800,522.75
77.92,0:00:00,sample,arg-amc,2,killed,800,507.25
77.92,0:00:00,sample,arg-amc,3,killed,800,552.85
77.92,0:00:00,sample,pro-amc,1,killed,800,375.81
77.92,0:00:00,sample,pro-amc,2,killed,800,543.26
77.92,0:00:00,sample,pro-amc,3,killed,800,450.28
77.92,0:00:00,sample,orn-amc,1,killed,800,2199.88
77.92,0:00:00,sample,orn-amc,2,killed,800,2379.25
77.92,0:00:00,sample,orn-amc,3,killed,800,2457.28
77.92,0:00:00,sample,phe-arg-amc,1,killed,800,1368.89
77.92,0:00:00,sample,phe-arg-amc,2,killed,800,1490.78
77.92,0:00:00,sample,phe-arg-amc,3,killed,800,1178.45
77.92,0:00:00,sample,phe-val-arg-amc,1,killed,800,2070.2
77.92,0:00:00,sample,phe-val-arg-amc,2,killed,800,1464.9
