depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
4.5,2,0:00:00,sample,mub-nag,1,killed,800,195.73
4.5,2,0:00:00,sample,mub-nag,2,killed,800,169.67
4.5,2,0:00:00,sample,mub-nag,3,killed,800,155.26
4.5,2,0:00:00,sample,mub-b-glu,1,killed,800,166.97
4.5,2,0:00:00,sample,mub-b-glu,2,killed,800,157.91
4.5,2,0:00:00,sample,mub-b-glu,3,killed,800,167.43
4.5,2,0:00:00,sample,mub-a-glu,1,killed,800,151.16
4.5,2,0:00:00,sample,mub-a-glu,2,killed,800,143.86
4.5,2,0:00:00,sample,mub-a-glu,3,killed,800,167.93
4.5,2,0:00:00,sample,leu-amc,1,killed,800,627.01
4.5,2,0:00:00,sample,leu-amc,2,killed,800,596.44
4.5,2,0:00:00,sample,leu-amc,3,killed,800,553.1
4.5,2,0:00:00,sample,arg-amc,1,killed,800,207.02
4.5,2,0:00:00,sample,arg-amc,2,killed,800,329.53
4.5,2,0:00:00,sample,arg-amc,3,killed,800,203.36
4.5,2,0:00:00,sample,pro-amc,1,killed,800,254
4.5,2,0:00:00,sample,pro-amc,2,killed,800,343
4.5,2,0:00:00,sample,pro-amc,3,killed,800,437.5
4.5,2,0:00:00,sample,orn-amc,1,killed,800,967.47
4.5,2,0:00:00,sample,orn-amc,2,killed,800,1474.8
4.5,2,0:00:00,sample,orn-amc,3,killed,800,1045.72
4.5,2,0:00:00,sample,phe-arg-amc,1,killed,800,514.65
4.5,2,0:00:00,sample,phe-arg-amc,2,killed,800,638.37
4.5,2,0:00:00,sample,phe-arg-amc,3,killed,800,467.73
4.5,2,0:00:00,sample,phe-val-arg-amc,1,killed,800,496.64
4.5,2,0:00:00,sample,phe-val-arg-amc,2,killed,800,489.93
4.5,2,0:00:00,sample,phe-val-arg-amc,3,killed,800,503.89
4.5,2,0:00:00,calib,mub-std,NA,live,0,154.08
4.5,2,0:00:00,calib,mub-std,NA,live,16,2489.09
4.5,2,0:00:00,calib,mub-std,NA,live,32,4350.48
4.5,2,0:00:00,calib,mub-std,NA,live,48,8640.72
4.5,2,0:00:00,calib,mub-std,NA,live,64,6737.64
4.5,2,0:00:00,calib,mub-std,NA,live,80,6572.44
4.5,2,0:00:00,calib,amc-std,NA,live,0,122.16
4.5,2,0:00:00,calib,amc-std,NA,live,16,20581.25
4.5,2,0:00:00,calib,amc-std,NA,live,32,33178.32
4.5,2,0:00:00,calib,amc-std,NA,live,48,49226.22
4.5,2,0:00:00,calib,amc-std,NA,live,64,79000.71
4.5,2,0:00:00,calib,amc-std,NA,live,80,87300.83
4.5,2,6:06:00,sample,mub-po4,1,live,800,7345.29
4.5,2,6:06:00,sample,mub-po4,2,live,800,7418.69
4.5,2,6:06:00,sample,mub-po4,3,live,800,7457.56
4.5,2,6:06:00,sample,mub-xylo,1,live,800,318.9
4.5,2,6:06:00,sample,mub-xylo,2,live,800,296.06
4.5,2,6:06:00,sample,mub-xylo,3,live,800,311.89
4.5,2,6:06:00,sample,mub-cell,1,live,800,293.7
4.5,2,6:06:00,sample,mub-cell,2,live,800,341.73
4.5,2,6:06:00,sample,mub-cell,3,live,800,327.95
4.5,2,6:06:00,sample,mub-nag,1,live,800,1021.31
4.5,2,6:06:00,sample,mub-nag,2,live,800,791.68
4.5,2,6:06:00,sample,mub-nag,3,live,800,1190.94
4.5,2,6:06:00,sample,mub-b-glu,1,live,800,511.68
4.5,2,6:06:00,sample,mub-b-glu,2,live,800,2253.14
4.5,2,6:06:00,sample,mub-b-glu,3,live,800,1725.3
4.5,2,6:06:00,sample,mub-a-glu,1,live,800,268.65
4.5,2,6:06:00,sample,mub-a-glu,2,live,800,265.19
4.5,2,6:06:00,sample,mub-a-glu,3,live,800,288.15
4.5,2,6:06:00,sample,leu-amc,1,live,800,3122.64
4.5,2,6:06:00,sample,leu-amc,2,live,800,4203.63
4.5,2,6:06:00,sample,leu-amc,3,live,800,4357.27
4.5,2,6:06:00,sample,arg-amc,1,live,800,2528.37
4.5,2,6:06:00,sample,arg-amc,2,live,800,1946.88
4.5,2,6:06:00,sample,arg-amc,3,live,800,2572.1
4.5,2,6:06:00,sample,pro-amc,1,live,800,1530.24
4.5,2,6:06:00,sample,pro-amc,2,live,800,2110.19
4.5,2,6:06:00,sample,pro-amc,3,live,800,1306.57
4.5,2,6:06:00,sample,orn-amc,1,live,800,4550.68
4.5,2,6:06:00,sample,orn-amc,2,live,800,2839.39
4.5,2,6:06:00,sample,orn-amc,3,live,800,4273.81
4.5,2,6:06:00,sample,phe-arg-amc,1,live,800,3906.51
4.5,2,6:06:00,sample,phe-arg-amc,2,live,800,3846.79
4.5,2,6:06:00,sample,phe-arg-amc,3,live,800,5122.62
4.5,2,6:06:00,sample,phe-val-arg-amc,1,live,800,6943.27
4.5,2,6:06:00,sample,phe-val-arg-amc,2,live,800,7793.47
4.5,2,6:06:00,sample,phe-val-arg-amc,3,live,800,7849.76
4.5,2,6:06:00,sample,mub-po4,1,killed,800,716.76
4.5,2,6:06:00,sample,mub-po4,2,killed,800,619.27
4.5,2,6:06:00,sample,mub-po4,3,killed,800,705.6
4.5,2,6:06:00,sample,mub-xylo,1,killed,800,161.81
4.5,2,6:06:00,sample,mub-xylo,2,killed,800,197.43
4.5,2,6:06:00,sample,mub-xylo,3,killed,800,204.74
4.5,2,6:06:00,sample,mub-cell,1,killed,800,198.34
4.5,2,6:06:00,sample,mub-cell,2,killed,800,202.98
4.5,2,6:06:00,sample,mub-cell,3,killed,800,158.91
4.5,2,6:06:00,sample,mub-nag,1,killed,800,319.97
4.5,2,6:06:00,sample,mub-nag,2,killed,800,257.97
4.5,2,6:06:00,sample,mub-nag,3,killed,800,271.97
4.5,2,6:06:00,sample,mub-b-glu,1,killed,800,215.73
4.5,2,6:06:00,sample,mub-b-glu,2,killed,800,189.68
4.5,2,6:06:00,sample,mub-b-glu,3,killed,800,230.15
4.5,2,6:06:00,sample,mub-a-glu,1,killed,800,182.16
4.5,2,6:06:00,sample,mub-a-glu,2,killed,800,192.4
4.5,2,6:06:00,sample,mub-a-glu,3,killed,800,212.56
4.5,2,6:06:00,sample,leu-amc,1,killed,800,771.51
4.5,2,6:06:00,sample,leu-amc,2,killed,800,652.93
4.5,2,6:06:00,sample,leu-amc,3,killed,800,635.31
4.5,2,6:06:00,sample,arg-amc,1,killed,800,243.6
4.5,2,6:06:00,sample,arg-amc,2,killed,800,388.22
4.5,2,6:06:00,sample,arg-amc,3,killed,800,263.97
4.5,2,6:06:00,sample,pro-amc,1,killed,800,323.67
4.5,2,6:06:00,sample,pro-amc,2,killed,800,384.17
4.5,2,6:06:00,sample,pro-amc,3,killed,800,339.08
4.5,2,6:06:00,sample,orn-amc,1,killed,800,1146.5
4.5,2,6:06:00,sample,orn-amc,2,killed,800,1798.63
4.5,2,6:06:00,sample,orn-amc,3,killed,800,1291.71
4.5,2,6:06:00,sample,phe-arg-amc,1,killed,800,539.84
4.5,2,6:06:00,sample,phe-arg-amc,2,killed,800,679.85
4.5,2,6:06:00,sample,phe-arg-amc,3,killed,800,481.37
4.5,2,6:06:00,sample,phe-val-arg-amc,1,killed,800,492.64
4.5,2,6:06:00,sample,phe-val-arg-amc,2,killed,800,572.29
4.5,2,6:06:00,sample,phe-val-arg-amc,3,killed,800,529.62
4.5,2,6:06:00,calib,mub-std,NA,live,0,221.97
4.5,2,6:06:00,calib,mub-std,NA,live,16,7765.02
4.5,2,6:06:00,calib,mub-std,NA,live,32,14150.84
4.5,2,6:06:00,calib,mub-std,NA,live,48,20642.98
4.5,2,6:06:00,calib,mub-std,NA,live,64,26661.1
4.5,2,6:06:00,calib,mub-std,NA,live,80,26546.79
4.5,2,6:06:00,calib,amc-std,NA,live,0,211.13
4.5,2,6:06:00,calib,amc-std,NA,live,16,25423.39
4.5,2,6:06:00,calib,amc-std,NA,live,32,39581.19
4.5,2,6:06:00,calib,amc-std,NA,live,48,57562.38
4.5,2,6:06:00,calib,amc-std,NA,live,64,93529.71
4.5,2,6:06:00,calib,amc-std,NA,live,80,102158.88
4.5,2,19:46:00,sample,mub-po4,1,live,800,24298.99
4.5,2,19:46:00,sample,mub-po4,2,live,800,22806.18
4.5,2,19:46:00,sample,mub-po4,3,live,800,25984.96
4.5,2,19:46:00,sample,mub-xylo,1,live,800,624.41
4.5,2,19:46:00,sample,mub-xylo,2,live,800,561.66
4.5,2,19:46:00,sample,mub-xylo,3,live,800,569.67
4.5,2,19:46:00,sample,mub-cell,1,live,800,539.88
4.5,2,19:46:00,sample,mub-cell,2,live,800,698.47
4.5,2,19:46:00,sample,mub-cell,3,live,800,629.89
4.5,2,19:46:00,sample,mub-nag,1,live,800,2482.05
4.5,2,19:46:00,sample,mub-nag,2,live,800,2055.74
4.5,2,19:46:00,sample,mub-nag,3,live,800,3346.64
4.5,2,19:46:00,sample,mub-b-glu,1,live,800,1658.24
4.5,2,19:46:00,sample,mub-b-glu,2,live,800,7084.55
4.5,2,19:46:00,sample,mub-b-glu,3,live,800,6197.61
4.5,2,19:46:00,sample,mub-a-glu,1,live,800,499.25
4.5,2,19:46:00,sample,mub-a-glu,2,live,800,436.04
4.5,2,19:46:00,sample,mub-a-glu,3,live,800,447.32
4.5,2,19:46:00,sample,leu-amc,1,live,800,10182.98
4.5,2,19:46:00,sample,leu-amc,2,live,800,11489.36
4.5,2,19:46:00,sample,leu-amc,3,live,800,12087.24
4.5,2,19:46:00,sample,arg-amc,1,live,800,8083.68
4.5,2,19:46:00,sample,arg-amc,2,live,800,6731.37
4.5,2,19:46:00,sample,arg-amc,3,live,800,7797.37
4.5,2,19:46:00,sample,pro-amc,1,live,800,3303.49
4.5,2,19:46:00,sample,pro-amc,2,live,800,5617.19
4.5,2,19:46:00,sample,pro-amc,3,live,800,3105.09
4.5,2,19:46:00,sample,orn-amc,1,live,800,8900.17
4.5,2,19:46:00,sample,orn-amc,2,live,800,5323.17
4.5,2,19:46:00,sample,orn-amc,3,live,800,7856.52
4.5,2,19:46:00,sample,phe-arg-amc,1,live,800,9984.07
4.5,2,19:46:00,sample,phe-arg-amc,2,live,800,9766.24
4.5,2,19:46:00,sample,phe-arg-amc,3,live,800,10794.71
4.5,2,19:46:00,sample,phe-val-arg-amc,1,live,800,20296.66
4.5,2,19:46:00,sample,phe-val-arg-amc,2,live,800,20373.48
4.5,2,19:46:00,sample,phe-val-arg-amc,3,live,800,19851.16
4.5,2,19:46:00,sample,mub-po4,1,killed,800,1375.86
4.5,2,19:46:00,sample,mub-po4,2,killed,800,1597.23
4.5,2,19:46:00,sample,mub-po4,3,killed,800,1652.44
4.5,2,19:46:00,sample,mub-xylo,1,killed,800,242.2
4.5,2,19:46:00,sample,mub-xylo,2,killed,800,275.99
4.5,2,19:46:00,sample,mub-xylo,3,killed,800,268.85
4.5,2,19:46:00,sample,mub-cell,1,killed,800,339.71
4.5,2,19:46:00,sample,mub-cell,2,killed,800,256.22
4.5,2,19:46:00,sample,mub-cell,3,killed,800,205.78
4.5,2,19:46:00,sample,mub-nag,1,killed,800,567.24
4.5,2,19:46:00,sample,mub-nag,2,killed,800,419.96
4.5,2,19:46:00,sample,mub-nag,3,killed,800,415.91
4.5,2,19:46:00,sample,mub-b-glu,1,killed,800,286.08
4.5,2,19:46:00,sample,mub-b-glu,2,killed,800,301.55
4.5,2,19:46:00,sample,mub-b-glu,3,killed,800,297.08
4.5,2,19:46:00,sample,mub-a-glu,1,killed,800,238.18
4.5,2,19:46:00,sample,mub-a-glu,2,killed,800,249.78
4.5,2,19:46:00,sample,mub-a-glu,3,killed,800,301.85
4.5,2,19:46:00,sample,leu-amc,1,killed,800,867.67
4.5,2,19:46:00,sample,leu-amc,2,killed,800,818.09
4.5,2,19:46:00,sample,leu-amc,3,killed,800,783.39
4.5,2,19:46:00,sample,arg-amc,1,killed,800,305.3
4.5,2,19:46:00,sample,arg-amc,2,killed,800,477.59
4.5,2,19:46:00,sample,arg-amc,3,killed,800,333.56
4.5,2,19:46:00,sample,pro-amc,1,killed,800,569.15
4.5,2,19:46:00,sample,pro-amc,2,killed,800,499.45
4.5,2,19:46:00,sample,pro-amc,3,killed,800,470.17
4.5,2,19:46:00,sample,orn-amc,1,killed,800,1802.12
4.5,2,19:46:00,sample,orn-amc,2,killed,800,2361.77
4.5,2,19:46:00,sample,orn-amc,3,killed,800,1809.67
4.5,2,19:46:00,sample,phe-arg-amc,1,killed,800,553.13
4.5,2,19:46:00,sample,phe-arg-amc,2,killed,800,726.17
4.5,2,19:46:00,sample,phe-arg-amc,3,killed,800,522.15
4.5,2,19:46:00,sample,phe-val-arg-amc,1,killed,800,544.68
4.5,2,19:46:00,sample,phe-val-arg-amc,2,killed,800,551.97
4.5,2,19:46:00,sample,phe-val-arg-amc,3,killed,800,619.12
4.5,2,19:46:00,calib,mub-std,NA,live,0,279.65
4.5,2,19:46:00,calib,mub-std,NA,live,16,12411.4
4.5,2,19:46:00,calib,mub-std,NA,live,32,21027.81
4.5,2,19:46:00,calib,mub-std,NA,live,48,38027.84
4.5,2,19:46:00,calib,mub-std,NA,live,64,43104.6
4.5,2,19:46:00,calib,mub-std,NA,live,80,49403.72
4.5,2,19:46:00,calib,amc-std,NA,live,0,285.87
4.5,2,19:46:00,calib,amc-std,NA,live,16,37460.66
4.5,2,19:46:00,calib,amc-std,NA,live,32,51716.89
4.5,2,19:46:00,calib,amc-std,NA,live,48,75457.87
4.5,2,19:46:00,calib,amc-std,NA,live,64,124371.53
4.5,2,19:46:00,calib,amc-std,NA,live,80,120948.46
4.5,2,23:08:00,sample,mub-po4,1,live,800,32647.04
4.5,2,23:08:00,sample,mub-po4,2,live,800,28286.12
4.5,2,23:08:00,sample,mub-po4,3,live,800,33269.47
4.5,2,23:08:00,sample,mub-xylo,1,live,800,668.97
4.5,2,23:08:00,sample,mub-xylo,2,live,800,639.23
4.5,2,23:08:00,sample,mub-xylo,3,live,800,671.37
4.5,2,23:08:00,sample,mub-cell,1,live,800,628.62
4.5,2,23:08:00,sample,mub-cell,2,live,800,815.26
4.5,2,23:08:00,sample,mub-cell,3,live,800,727.54
4.5,2,23:08:00,sample,mub-nag,1,live,800,3422.25
4.5,2,23:08:00,sample,mub-nag,2,live,800,2389.11
4.5,2,23:08:00,sample,mub-nag,3,live,800,4495.28
4.5,2,23:08:00,sample,mub-b-glu,1,live,800,1877.03
4.5,2,23:08:00,sample,mub-b-glu,2,live,800,11753.02
4.5,2,23:08:00,sample,mub-b-glu,3,live,800,7118.63
4.5,2,23:08:00,sample,mub-a-glu,1,live,800,545.61
4.5,2,23:08:00,sample,mub-a-glu,2,live,800,464.6
4.5,2,23:08:00,sample,mub-a-glu,3,live,800,470.63
4.5,2,23:08:00,sample,leu-amc,1,live,800,11547.47
4.5,2,23:08:00,sample,leu-amc,2,live,800,16804.93
4.5,2,23:08:00,sample,leu-amc,3,live,800,13949.1
4.5,2,23:08:00,sample,arg-amc,1,live,800,11596.49
4.5,2,23:08:00,sample,arg-amc,2,live,800,7578.34
4.5,2,23:08:00,sample,arg-amc,3,live,800,8677.28
4.5,2,23:08:00,sample,pro-amc,1,live,800,5151.34
4.5,2,23:08:00,sample,pro-amc,2,live,800,5398.42
4.5,2,23:08:00,sample,pro-amc,3,live,800,4493.97
4.5,2,23:08:00,sample,orn-amc,1,live,800,10566.72
4.5,2,23:08:00,sample,orn-amc,2,live,800,6143.22
4.5,2,23:08:00,sample,orn-amc,3,live,800,9076.63
4.5,2,23:08:00,sample,phe-arg-amc,1,live,800,13166.54
4.5,2,23:08:00,sample,phe-arg-amc,2,live,800,13793.18
4.5,2,23:08:00,sample,phe-arg-amc,3,live,800,13351.05
4.5,2,23:08:00,sample,phe-val-arg-amc,1,live,800,23818.15
4.5,2,23:08:00,sample,phe-val-arg-amc,2,live,800,25258.6
4.5,2,23:08:00,sample,phe-val-arg-amc,3,live,800,26204.8
4.5,2,23:08:00,sample,mub-po4,1,killed,800,1680.56
4.5,2,23:08:00,sample,mub-po4,2,killed,800,1808.29
4.5,2,23:08:00,sample,mub-po4,3,killed,800,2288.83
4.5,2,23:08:00,sample,mub-xylo,1,killed,800,346.4
4.5,2,23:08:00,sample,mub-xylo,2,killed,800,280.5
4.5,2,23:08:00,sample,mub-xylo,3,killed,800,288.52
4.5,2,23:08:00,sample,mub-cell,1,killed,800,260.94
4.5,2,23:08:00,sample,mub-cell,2,killed,800,366.8
4.5,2,23:08:00,sample,mub-cell,3,killed,800,234.68
4.5,2,23:08:00,sample,mub-nag,1,killed,800,693.88
4.5,2,23:08:00,sample,mub-nag,2,killed,800,484.17
4.5,2,23:08:00,sample,mub-nag,3,killed,800,513.64
4.5,2,23:08:00,sample,mub-b-glu,1,killed,800,340.69
4.5,2,23:08:00,sample,mub-b-glu,2,killed,800,339.97
4.5,2,23:08:00,sample,mub-b-glu,3,killed,800,441.03
4.5,2,23:08:00,sample,mub-a-glu,1,killed,800,374.58
4.5,2,23:08:00,sample,mub-a-glu,2,killed,800,286.16
4.5,2,23:08:00,sample,mub-a-glu,3,killed,800,329.25
4.5,2,23:08:00,sample,leu-amc,1,killed,800,1348.3
4.5,2,23:08:00,sample,leu-amc,2,killed,800,866.98
4.5,2,23:08:00,sample,leu-amc,3,killed,800,888.72
4.5,2,23:08:00,sample,arg-amc,1,killed,800,327.32
4.5,2,23:08:00,sample,arg-amc,2,killed,800,555.83
4.5,2,23:08:00,sample,arg-amc,3,killed,800,348.89
4.5,2,23:08:00,sample,pro-amc,1,killed,800,430.01
4.5,2,23:08:00,sample,pro-amc,2,killed,800,504.28
4.5,2,23:08:00,sample,pro-amc,3,killed,800,500.69
4.5,2,23:08:00,sample,orn-amc,1,killed,800,1742.85
4.5,2,23:08:00,sample,orn-amc,2,killed,800,2574.17
4.5,2,23:08:00,sample,orn-amc,3,killed,800,1948.02
4.5,2,23:08:00,sample,phe-arg-amc,1,killed,800,554.96
4.5,2,23:08:00,sample,phe-arg-amc,2,killed,800,773.54
4.5,2,23:08:00,sample,phe-arg-amc,3,killed,800,864.84
4.5,2,23:08:00,sample,phe-val-arg-amc,1,killed,800,579.41
4.5,2,23:08:00,sample,phe-val-arg-amc,2,killed,800,601.29
4.5,2,23:08:00,sample,phe-val-arg-amc,3,killed,800,670
4.5,2,23:08:00,calib,mub-std,NA,live,0,314.58
4.5,2,23:08:00,calib,mub-std,NA,live,16,12986.69
4.5,2,23:08:00,calib,mub-std,NA,live,32,25375.51
4.5,2,23:08:00,calib,mub-std,NA,live,48,35414.15
4.5,2,23:08:00,calib,mub-std,NA,live,64,51823.78
4.5,2,23:08:00,calib,mub-std,NA,live,80,56412.9
4.5,2,23:08:00,calib,amc-std,NA,live,0,319.33
4.5,2,23:08:00,calib,amc-std,NA,live,16,30995.61
4.5,2,23:08:00,calib,amc-std,NA,live,32,52008.1
4.5,2,23:08:00,calib,amc-std,NA,live,48,84300.27
4.5,2,23:08:00,calib,amc-std,NA,live,64,118710.79
4.5,2,23:08:00,calib,amc-std,NA,live,80,132071.01
