depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
4.5,2,0:00:00,sample,mub-po4,1,live,800,1177.1
4.5,2,0:00:00,sample,mub-po4,2,live,800,1204.1
4.5,2,0:00:00,sample,mub-po4,3,live,800,1091.47
4.5,2,0:00:00,sample,mub-xylo,1,live,800,160.4
4.5,2,0:00:00,sample,mub-xylo,2,live,800,176.07
4.5,2,0:00:00,sample,mub-xylo,3,live,800,157.2
4.5,2,0:00:00,sample,mub-cell,1,live,800,161.78
4.5,2,0:00:00,sample,mub-cell,2,live,800,157.22
4.5,2,0:00:00,sample,mub-cell,3,live,800,177.49
4.5,2,0:00:00,sample,mub-nag,1,live,800,258.26
4.5,2,0:00:00,sample,mub-nag,2,live,800,169.07
4.5,2,0:00:00,sample,mub-nag,3,live,800,266.54
4.5,2,0:00:00,sample,mub-b-glu,1,live,800,85.11
4.5,2,0:00:00,sample,mub-b-glu,2,live,800,318.64
4.5,2,0:00:00,sample,mub-b-glu,3,live,800,321.35
4.5,2,0:00:00,sample,mub-a-glu,1,live,800,159.69
4.5,2,0:00:00,sample,mub-a-glu,2,live,800,167.8
4.5,2,0:00:00,sample,mub-a-glu,3,live,800,172.95
4.5,2,0:00:00,sample,leu-amc,1,live,800,1096.11
4.5,2,0:00:00,sample,leu-amc,2,live,800,1413.91
4.5,2,0:00:00,sample,leu-amc,3,live,800,1562.08
4.5,2,0:00:00,sample,arg-amc,1,live,800,743.6
4.5,2,0:00:00,sample,arg-amc,2,live,800,572.49
4.5,2,0:00:00,sample,arg-amc,3,live,800,682.06
4.5,2,0:00:00,sample,pro-amc,1,live,800,766.97
4.5,2,0:00:00,sample,pro-amc,2,live,800,1176.44
4.5,2,0:00:00,sample,pro-amc,3,live,800,698.64
4.5,2,0:00:00,sample,orn-amc,1,live,800,2655.76
4.5,2,0:00:00,sample,orn-amc,2,live,800,1751.69
4.5,2,0:00:00,sample,orn-amc,3,live,800,2564.29
4.5,2,0:00:00,sample,phe-arg-amc,1,live,800,1777.25
4.5,2,0:00:00,sample,phe-arg-amc,2,live,800,1977.2
4.5,2,0:00:00,sample,phe-arg-amc,3,live,800,2198.03
4.5,2,0:00:00,sample,phe-val-arg-amc,1,live,800,2167.86
4.5,2,0:00:00,sample,phe-val-arg-amc,2,live,800,2629.93
4.5,2,0:00:00,sample,phe-val-arg-amc,3,live,800,2579.03
4.5,2,0:00:00,sample,mub-po4,1,killed,800,435.95
4.5,2,0:00:00,sample,mub-po4,2,killed,800,379.96
4.5,2,0:00:00,sample,mub-po4,3,killed,800,454.01
4.5,2,0:00:00,sample,mub-xylo,1,killed,800,132.7
4.5,2,0:00:00,sample,mub-xylo,2,killed,800,154.38
4.5,2,0:00:00,sample,mub-xylo,3,killed,800,150.94
4.5,2,0:00:00,sample,mub-cell,1,killed,800,148.12
4.5,2,0:00:00,sample,mub-cell,2,killed,800,149.59
4.5,2,0:00:00,sample,mub-cell,3,killed,800,127.29
