depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
68.12,5:29:00,sample,mub-xylo,2,live,800,70.2
68.12,5:29:00,sample,mub-xylo,3,live,800,65.6
68.12,5:29:00,sample,mub-cell,1,live,800,95.21
68.12,5:29:00,sample,mub-cell,2,live,800,91.27
68.12,5:29:00,sample,mub-cell,3,live,800,103.08
68.12,5:29:00,sample,mub-nag,1,live,800,182.34
68.12,5:29:00,sample,mub-nag,2,live,800,208.45
68.12,5:29:00,sample,mub-nag,3,live,800,190.23
68.12,5:29:00,sample,mub-b-glu,1,live,800,53.34
68.12,5:29:00,sample,mub-b-glu,2,live,800,60.68
68.12,5:29:00,sample,mub-b-glu,3,live,800,56.96
68.12,5:29:00,sample,mub-a-glu,1,live,800,57.83
68.12,5:29:00,sample,mub-a-glu,2,live,800,60.76
68.12,5:29:00,sample,mub-a-glu,3,live,800,104.91
68.12,5:29:00,sample,leu-amc,1,live,800,233.7
68.12,5:29:00,sample,leu-amc,2,live,800,231.41
68.12,5:29:00,sample,leu-amc,3,live,800,326.97
68.12,5:29:00,sample,arg-amc,1,live,800,171.84
68.12,5:29:00,sample,arg-amc,2,live,800,160.52
68.12,5:29:00,sample,arg-amc,3,live,800,166.99
68.12,5:29:00,sample,pro-amc,1,live,800,153.84
68.12,5:29:00,sample,pro-amc,2,live,800,149.83
68.12,5:29:00,sample,pro-amc,3,live,800,157.46
68.12,5:29:00,sample,orn-amc,1,live,800,1232.99
68.12,5:29:00,sample,orn-amc,2,live,800,1086.57
68.12,5:29:00,sample,orn-amc,3,live,800,1251.16
68.12,5:29:00,sample,phe-arg-amc,1,live,800,676.99
68.12,5:29:00,sample,phe-arg-amc,2,live,800,589.83
68.12,5:29:00,sample,phe-arg-amc,3,live,800,611.11
68.12,5:29:00,sample,phe-val-arg-amc,1,live,800,436.95
68.12,5:29:00,sample,phe-val-arg-amc,2,live,800,679.92
68.12,5:29:00,sample,phe-val-arg-amc,3,live,800,439.6
68.12,5:29:00,sample,mub-po4,1,killed,800,1095.04
68.12,5:29:00,sample,mub-po4,2,killed,800,1039.83
68.12,5:29:00,sample,mub-po4,3,killed,800,1059.73
68.12,5:29:00,sample,mub-xylo,1,killed,800,66.8
68.12,5:29:00,sample,mub-xylo,2,killed,800,66.95
68.12,5:29:00,sample,mub-xylo,3,killed,800,114.3
68.12,5:29:00,sample,mub-cell,1,killed,800,92.34
68.12,5:29:00,sample,mub-cell,2,killed,800,39.37
68.12,5:29:00,sample,mub-cell,3,killed,800,201.32
68.12,5:29:00,sample,mub-nag,1,killed,800,168.75
68.12,5:29:00,sample,mub-nag,2,killed,800,284.21
68.12,5:29:00,sample,mub-nag,3,killed,800,171.42
68.12,5:29:00,sample,mub-b-glu,1,killed,800,57.69
68.12,5:29:00,sample,mub-b-glu,2,killed,800,57.86
68.12,5:29:00,sample,mub-b-glu,3,killed,800,54.73
68.12,5:29:00,sample,mub-a-glu,1,killed,800,56.96
68.12,5:29:00,sample,mub-a-glu,2,killed,800,58.52
68.12,5:29:00,sample,mub-a-glu,3,killed,800,64.03
68.12,5:29:00,sample,leu-amc,1,killed,800,240.21
68.12,5:29:00,sample,leu-amc,2,killed,800,218.18
68.12,5:29:00,sample,leu-amc,3,killed,800,234.1
68.12,5:29:00,sample,arg-amc,1,killed,800,170.77
68.12,5:29:00,sample,arg-amc,2,killed,800,271.99
68.12,5:29:00,sample,arg-amc,3,killed,800,150.55
68.12,5:29:00,sample,pro-amc,1,killed,800,157.59
68.12,5:29:00,sample,pro-amc,2,killed,800,153.44
68.12,5:29:00,sample,pro-amc,3,killed,800,138.81
68.12,5:29:00,sample,orn-amc,1,killed,800,1183.3
68.12,5:29:00,sample,orn-amc,2,killed,800,1238.48
68.12,5:29:00,sample,orn-amc,3,killed,800,1126.8
68.12,5:29:00,sample,phe-arg-amc,1,killed,800,615.73
68.12,5:29:00,sample,phe-arg-amc,2,killed,800,571.46
68.12,5:29:00,sample,phe-arg-amc,3,killed,800,707.53
68.12,5:29:00,sample,phe-val-arg-amc,1,killed,800,717.27
68.12,5:29:00,sample,phe-val-arg-amc,2,killed,800,421.05
68.12,5:29:00,sample,phe-val-arg-amc,3,killed,800,721.39
68.12,5:29:00,standard,mub-po4,NA,buffer,800,259018.5
68.12,5:29:00,standard,mub-xylo,NA,buffer,800,5480.72
68.12,5:29:00,standard,mub-cell,NA,buffer,800,13958.68
68.12,5:29:00,standard,mub-nag,NA,buffer,800,38771.27
68.12,5:29:00,standard,mub-b-glu,NA,buffer,800,2728.56
68.12,5:29:00,standard,mub-a-glu,NA,buffer,800,4871.14
68.12,5:29:00,standard,leu-amc,NA,buffer,800,160427.78
68.12,5:29:00,standard,arg-amc,NA,buffer,800,195034.65
68.12,5:29:00,standard,pro-amc,NA,buffer,800,133590.98
68.12,5:29:00,standard,orn-amc,NA,buffer,800,646327.93
68.12,5:29:00,standard,phe-arg-amc,NA,buffer,800,427455.59
68.12,5:29:00,standard,phe-val-arg-amc,NA,buffer,800,466395.87
68.12,5:29:00,standard,mub-std,NA,buffer,40,
68.12,5:29:00,standard,amc-std,NA,buffer,40,
68.12,5:29:00,calib,mub-std,NA,live,0,46.85
68.12,5:29:00,calib,mub-std,NA,live,16,1391.89
68.12,5:29:00,calib,mub-std,NA,live,32,3112.5
