depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
4.5,0:00,sample,1,live,0,159.58
4.5,0:00,sample,1,live,80,335.86
4.5,0:00,sample,1,live,160,459.86
4.5,0:00,sample,1,live,240,694.89
4.5,0:00,sample,1,live,320,733.55
4.5,0:00,sample,1,live,400,791.78
4.5,0:00,sample,1,live,480,855.12
4.5,0:00,sample,1,live,560,969.64
4.5,0:00,sample,1,live,640,1205.4
4.5,0:00,sample,1,live,720,1143.39
4.5,0:00,sample,2,live,0,163
4.5,0:00,sample,2,live,80,350.39
4.5,0:00,sample,2,live,160,534.87
4.5,0:00,sample,2,live,240,634.09
4.5,0:00,sample,2,live,320,715.72
4.5,0:00,sample,2,live,400,922.2
4.5,0:00,sample,2,live,480,990.59
4.5,0:00,sample,2,live,560,1011.43
4.5,0:00,sample,2,live,640,1179.04
4.5,0:00,sample,2,live,720,1185.47
4.5,0:00,sample,1,killed,0,238.81
4.5,0:00,sample,1,killed,80,313.05
4.5,0:00,sample,1,killed,160,457.34
4.5,0:00,sample,1,killed,240,503.72
4.5,0:00,sample,1,killed,320,522.35
4.5,0:00,sample,1,killed,400,583.3
4.5,0:00,sample,1,killed,480,733.24
4.5,0:00,sample,1,killed,560,806.68
4.5,0:00,sample,1,killed,640,821.48
4.5,0:00,sample,1,killed,720,987.26
4.5,0:00,sample,2,killed,0,249.3
4.5,0:00,sample,2,killed,80,320.11
4.5,0:00,sample,2,killed,160,428.34
4.5,0:00,sample,2,killed,240,585.56
4.5,0:00,sample,2,killed,320,532.05
4.5,0:00,sample,2,killed,400,706.19
4.5,0:00,sample,2,killed,480,684.02
4.5,0:00,sample,2,killed,560,837.09
4.5,0:00,sample,2,killed,640,953.11
4.5,0:00,sample,2,killed,720,1017.11
4.5,0:00,calib,1,live,0,244.65
4.5,0:00,calib,1,live,10,11868.6
4.5,0:00,calib,1,live,20,24367.57
4.5,0:00,calib,1,live,30,36228.87
4.5,0:00,calib,1,live,40,48443.1
4.5,0:00,calib,1,live,50,61768.27
4.5,5:52,sample,1,live,0,211.21
4.5,5:52,sample,1,live,80,3032.2
4.5,5:52,sample,1,live,160,4219.4
4.5,5:52,sample,1,live,240,6822.19
4.5,5:52,sample,1,live,320,5932.65
4.5,5:52,sample,1,live,400,6088.41
4.5,5:52,sample,1,live,480,5863.8
4.5,5:52,sample,1,live,560,5708.72
4.5,5:52,sample,1,live,640,6308.88
4.5,5:52,sample,1,live,720,5418.2
4.5,5:52,sample,2,live,0,228.5
4.5,5:52,sample,2,live,80,3202.11
4.5,5:52,sample,2,live,160,4747.41
4.5,5:52,sample,2,live,240,5587.11
4.5,5:52,sample,2,live,320,5430.73
4.5,5:52,sample,2,live,400,6238.82
4.5,5:52,sample,2,live,480,6423.17
4.5,5:52,sample,2,live,560,5762.79
4.5,5:52,sample,2,live,640,6968.02
4.5,5:52,sample,2,live,720,5631.9
4.5,5:52,sample,1,killed,0,318.99
4.5,5:52,sample,1,killed,80,403.23
4.5,5:52,sample,1,killed,160,540.7
4.5,5:52,sample,1,killed,240,568.85
4.5,5:52,sample,1,killed,320,486.73
4.5,5:52,sample,1,killed,400,631.01
4.5,5:52,sample,1,killed,480,795.02
4.5,5:52,sample,1,killed,560,819.78
4.5,5:52,sample,1,killed,640,822.74
4.5,5:52,sample,1,killed,720,927.03
4.5,5:52,sample,2,killed,0,310.45
4.5,5:52,sample,2,killed,80,386.33
4.5,5:52,sample,2,killed,160,459.16
4.5,5:52,sample,2,killed,240,617.21
4.5,5:52,sample,2,killed,320,614.28
4.5,5:52,sample,2,killed,400,734.1
4.5,5:52,sample,2,killed,480,753.48
4.5,5:52,sample,2,killed,560,837.33
4.5,5:52,sample,2,killed,640,889.22
4.5,5:52,sample,2,killed,720,937.69
4.5,5:52,calib,1,live,0,328.72
4.5,5:52,calib,1,live,10,14485.54
4.5,5:52,calib,1,live,20,31914.23
4.5,5:52,calib,1,live,30,47851.87
4.5,5:52,calib,1,live,40,64465.55
4.5,5:52,calib,1,live,50,84232.41
4.5,9:09,sample,1,live,0,243.08
4.5,9:09,sample,1,live,80,5018.3
4.5,9:09,sample,1,live,160,6429.27
4.5,9:09,sample,1,live,240,10194.97
4.5,9:09,sample,1,live,320,8636.87
4.5,9:09,sample,1,live,400,8807.4
4.5,9:09,sample,1,live,480,9097.12
4.5,9:09,sample,1,live,560,8066.37
4.5,9:09,sample,1,live,640,9314.57
4.5,9:09,sample,1,live,720,8249.75
4.5,9:09,sample,2,live,0,237.59
4.5,9:09,sample,2,live,80,4610.56
4.5,9:09,sample,2,live,160,6808.36
4.5,9:09,sample,2,live,240,7936.63
4.5,9:09,sample,2,live,320,7997.11
4.5,9:09,sample,2,live,400,11075.38
4.5,9:09,sample,2,live,480,9743.35
4.5,9:09,sample,2,live,560,8696.81
4.5,9:09,sample,2,live,640,10033.7
4.5,9:09,sample,2,live,720,9144.47
4.5,9:09,sample,1,killed,0,330.04
4.5,9:09,sample,1,killed,80,427.26
4.5,9:09,sample,1,killed,160,575.01
4.5,9:09,sample,1,killed,240,590.64
4.5,9:09,sample,1,killed,320,530.27
4.5,9:09,sample,1,killed,400,647.86
4.5,9:09,sample,1,killed,480,753.8
4.5,9:09,sample,1,killed,560,896.68
4.5,9:09,sample,1,killed,640,765.64
4.5,9:09,sample,1,killed,720,816.26
4.5,9:09,sample,2,killed,0,324.23
4.5,9:09,sample,2,killed,80,398.07
4.5,9:09,sample,2,killed,160,514.77
4.5,9:09,sample,2,killed,240,592.9
4.5,9:09,sample,2,killed,320,566.32
4.5,9:09,sample,2,killed,400,788.88
4.5,9:09,sample,2,killed,480,721.23
4.5,9:09,sample,2,killed,560,836.12
4.5,9:09,sample,2,killed,640,901.19
4.5,9:09,sample,2,killed,720,975.91
4.5,9:09,calib,1,live,0,370.02
4.5,9:09,calib,1,live,10,15268.66
4.5,9:09,calib,1,live,20,39978.77
4.5,9:09,calib,1,live,30,52056.94
4.5,9:09,calib,1,live,40,68501.98
4.5,9:09,calib,1,live,50,79466.03
4.5,20:46,sample,1,live,0,281.88
4.5,20:46,sample,1,live,80,11434.36
4.5,20:46,sample,1,live,160,15226.93
4.5,20:46,sample,1,live,240,24138.13
4.5,20:46,sample,1,live,320,19476.77
4.5,20:46,sample,1,live,400,20299.27
4.5,20:46,sample,1,live,480,19843.99
4.5,20:46,sample,1,live,560,19214.93
4.5,20:46,sample,1,live,640,21298.35
4.5,20:46,sample,1,live,720,19142.77
4.5,20:46,sample,2,live,0,285.96
4.5,20:46,sample,2,live,80,11070.4
4.5,20:46,sample,2,live,160,15572.36
4.5,20:46,sample,2,live,240,17784.16
4.5,20:46,sample,2,live,320,19291.48
4.5,20:46,sample,2,live,400,21233.44
4.5,20:46,sample,2,live,480,22561.65
4.5,20:46,sample,2,live,560,19584.25
4.5,20:46,sample,2,live,640,22366.16
4.5,20:46,sample,2,live,720,22493.78
4.5,20:46,sample,1,killed,0,397.94
4.5,20:46,sample,1,killed,80,500.09
4.5,20:46,sample,1,killed,160,583.63
4.5,20:46,sample,1,killed,240,675.58
4.5,20:46,sample,1,killed,320,808.49
4.5,20:46,sample,1,killed,400,780.42
4.5,20:46,sample,1,killed,480,856.67
4.5,20:46,sample,1,killed,560,914.91
4.5,20:46,sample,1,killed,640,782.23
4.5,20:46,sample,1,killed,720,986.16
