depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
24.3,3:11,sample,1,live,400,187.83
24.3,3:11,sample,1,live,480,184.72
24.3,3:11,sample,1,live,560,175.89
24.3,3:11,sample,1,live,640,202.5
24.3,3:11,sample,1,live,720,190.98
24.3,3:11,sample,2,live,0,16.52
24.3,3:11,sample,2,live,80,82.32
24.3,3:11,sample,2,live,160,112.02
24.3,3:11,sample,2,live,240,146.66
24.3,3:11,sample,2,live,320,136.67
24.3,3:11,sample,2,live,400,143.68
24.3,3:11,sample,2,live,480,181.79
24.3,3:11,sample,2,live,560,178.88
24.3,3:11,sample,2,live,640,161.97
24.3,3:11,sample,2,live,720,200.86
24.3,3:11,sample,1,killed,0,229.4
24.3,3:11,sample,1,killed,80,272.22
24.3,3:11,sample,1,killed,160,300.37
24.3,3:11,sample,1,killed,240,456.5
24.3,3:11,sample,1,killed,320,415.29
24.3,3:11,sample,1,killed,400,481.22
24.3,3:11,sample,1,killed,480,489.94
24.3,3:11,sample,1,killed,560,425.17
24.3,3:11,sample,1,killed,640,522.32
24.3,3:11,sample,1,killed,720,515.86
24.3,3:11,sample,2,killed,0,243.07
24.3,3:11,sample,2,killed,80,279.71
24.3,3:11,sample,2,killed,160,306.83
24.3,3:11,sample,2,killed,240,286.01
24.3,3:11,sample,2,killed,320,455.49
24.3,3:11,sample,2,killed,400,447.81
24.3,3:11,sample,2,killed,480,388.59
24.3,3:11,sample,2,killed,560,405.42
24.3,3:11,sample,2,killed,640,431.84
24.3,3:11,sample,2,killed,720,546.59
24.3,3:11,calib,1,live,0,1399.62
24.3,3:11,calib,1,live,10,3021.86
24.3,3:11,calib,1,live,20,6020.24
24.3,3:11,calib,1,live,30,8934.33
24.3,3:11,calib,1,live,40,12345.64
24.3,3:11,calib,1,live,50,12359.54
24.3,6:23,sample,1,live,0,50.46
24.3,6:23,sample,1,live,80,139.96
24.3,6:23,sample,1,live,160,175.46
24.3,6:23,sample,1,live,240,211.03
24.3,6:23,sample,1,live,320,254.01
24.3,6:23,sample,1,live,400,261.65
24.3,6:23,sample,1,live,480,268.19
24.3,6:23,sample,1,live,560,284.24
24.3,6:23,sample,1,live,640,305.23
24.3,6:23,sample,1,live,720,288.57
24.3,6:23,sample,2,live,0,46.85
24.3,6:23,sample,2,live,80,125.75
24.3,6:23,sample,2,live,160,192.65
24.3,6:23,sample,2,live,240,230.16
24.3,6:23,sample,2,live,320,215.33
24.3,6:23,sample,2,live,400,234.6
24.3,6:23,sample,2,live,480,265.25
24.3,6:23,sample,2,live,560,271.13
24.3,6:23,sample,2,live,640,282.53
24.3,6:23,sample,2,live,720,303.83
24.3,6:23,sample,1,killed,0,307.68
24.3,6:23,sample,1,killed,80,310.95
24.3,6:23,sample,1,killed,160,379.56
24.3,6:23,sample,1,killed,240,440.56
24.3,6:23,sample,1,killed,320,458.98
24.3,6:23,sample,1,killed,400,495.98
24.3,6:23,sample,1,killed,480,489.22
24.3,6:23,sample,1,killed,560,489.07
24.3,6:23,sample,1,killed,640,546.3
24.3,6:23,sample,1,killed,720,573.05
24.3,6:23,sample,2,killed,0,271.26
24.3,6:23,sample,2,killed,80,322.95
24.3,6:23,sample,2,killed,160,346.41
24.3,6:23,sample,2,killed,240,322.97
24.3,6:23,sample,2,killed,320,462.8
24.3,6:23,sample,2,killed,400,508.52
24.3,6:23,sample,2,killed,480,441.26
24.3,6:23,sample,2,killed,560,453.11
24.3,6:23,sample,2,killed,640,514.85
24.3,6:23,sample,2,killed,720,740.15
24.3,6:23,calib,1,live,0,90.45
24.3,6:23,calib,1,live,10,3248.1
24.3,6:23,calib,1,live,20,7646.05
24.3,6:23,calib,1,live,30,11162.95
24.3,6:23,calib,1,live,40,14756.6
24.3,6:23,calib,1,live,50,13453.52
24.3,20:24,sample,1,live,0,67.28
24.3,20:24,sample,1,live,80,467.74
24.3,20:24,sample,1,live,160,556.58
24.3,20:24,sample,1,live,240,570.87
24.3,20:24,sample,1,live,320,736.23
24.3,20:24,sample,1,live,400,681.28
24.3,20:24,sample,1,live,480,681.95
24.3,20:24,sample,1,live,560,716.89
24.3,20:24,sample,1,live,640,700.42
24.3,20:24,sample,1,live,720,694.11
24.3,20:24,sample,2,live,0,57.07
24.3,20:24,sample,2,live,80,364.28
24.3,20:24,sample,2,live,160,549.68
24.3,20:24,sample,2,live,240,666.18
24.3,20:24,sample,2,live,320,585.27
24.3,20:24,sample,2,live,400,674.89
24.3,20:24,sample,2,live,480,707.82
24.3,20:24,sample,2,live,560,608.84
24.3,20:24,sample,2,live,640,751.46
24.3,20:24,sample,2,live,720,818.62
24.3,20:24,sample,1,killed,0,354.45
24.3,20:24,sample,1,killed,80,388.5
24.3,20:24,sample,1,killed,160,426.37
24.3,20:24,sample,1,killed,240,518.51
24.3,20:24,sample,1,killed,320,506.46
24.3,20:24,sample,1,killed,400,568.33
24.3,20:24,sample,1,killed,480,487.19
24.3,20:24,sample,1,killed,560,537.26
24.3,20:24,sample,1,killed,640,654.73
24.3,20:24,sample,1,killed,720,637.51
24.3,20:24,sample,2,killed,0,337.01
24.3,20:24,sample,2,killed,80,413.21
24.3,20:24,sample,2,killed,160,435.25
24.3,20:24,sample,2,killed,240,370.27
24.3,20:24,sample,2,killed,320,571.55
24.3,20:24,sample,2,killed,400,596.53
24.3,20:24,sample,2,killed,480,467.81
24.3,20:24,sample,2,killed,560,473.49
24.3,20:24,sample,2,killed,640,586.19
24.3,20:24,sample,2,killed,720,790.39
24.3,20:24,calib,1,live,0,114.72
24.3,20:24,calib,1,live,10,4433.32
24.3,20:24,calib,1,live,20,12452.12
24.3,20:24,calib,1,live,30,13712.35
24.3,20:24,calib,1,live,40,19022.65
24.3,20:24,calib,1,live,50,17644.66
