depth.mbsf,time,sample.calib,rep,treatment,conc.uM,RFU
24.3,0:00,sample,1,live,0,33.21
24.3,0:00,sample,1,live,80,49.26
24.3,0:00,sample,1,live,160,61.39
24.3,0:00,sample,1,live,240,68.92
24.3,0:00,sample,1,live,320,168.2
24.3,0:00,sample,1,live,400,106.31
24.3,0:00,sample,1,live,480,117.62
24.3,0:00,sample,1,live,560,164.02
24.3,0:00,sample,1,live,640,207.26
24.3,0:00,sample,1,live,720,121.14
24.3,0:00,sample,2,live,0,31.53
24.3,0:00,sample,2,live,80,45.2
24.3,0:00,sample,2,live,160,56.16
24.3,0:00,sample,2,live,240,78.79
24.3,0:00,sample,2,live,320,80.03
24.3,0:00,sample,2,live,400,98.8
24.3,0:00,sample,2,live,480,114.44
24.3,0:00,sample,2,live,560,136.25
24.3,0:00,sample,2,live,640,120.77
24.3,0:00,sample,2,live,720,145.48
24.3,0:00,sample,1,killed,0,194.14
24.3,0:00,sample,1,killed,80,247.44
24.3,0:00,sample,1,killed,160,260.94
24.3,0:00,sample,1,killed,240,426.16
24.3,0:00,sample,1,killed,320,410.63
24.3,0:00,sample,1,killed,400,488.84
24.3,0:00,sample,1,killed,480,469.2
24.3,0:00,sample,1,killed,560,448.45
24.3,0:00,sample,1,killed,640,529.62
24.3,0:00,sample,1,killed,720,526.64
24.3,0:00,sample,2,killed,0,183.89
24.3,0:00,sample,2,killed,80,250.97
24.3,0:00,sample,2,killed,160,274.11
24.3,0:00,sample,2,killed,240,274.19
24.3,0:00,sample,2,killed,320,451.94
24.3,0:00,sample,2,killed,400,518.16
24.3,0:00,sample,2,killed,480,412.33
24.3,0:00,sample,2,killed,560,395.4
24.3,0:00,sample,2,killed,640,667.43
24.3,0:00,sample,2,killed,720,522.89
24.3,0:00,calib,1,live,0,64.03
24.3,0:00,calib,1,live,10,3592.35
24.3,0:00,calib,1,live,20,5164.43
24.3,0:00,calib,1,live,30,7075.62
24.3,0:00,calib,1,live,40,9561.64
24.3,0:00,calib,1,live,50,9902.89
24.3,3:11,sample,1,live,0,40.77
24.3,3:11,sample,1,live,80,63.62
24.3,3:11,sample,1,live,160,115.58
24.3,3:11,sample,1,live,240,118.96
24.3,3:11,sample,1,live,320,186.85
